siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year
HEAL,HEAL_045.basePlot.ltr,31,N,390996.3862,7085034.741,6N,0,0,390996.3862,7085034.741,400,NA,,
HEAL,HEAL_046.basePlot.ltr,31,N,391115.0326,7084794.428,6N,0,0,391115.0326,7084794.428,400,NA,,
HEAL,HEAL_047.basePlot.ltr,31,Y,390905.9687,7084735.349,6N,0,0,390905.9687,7084735.349,400,NA,,
HEAL,HEAL_048.basePlot.ltr,21,N,391416.7832,7084975.872,6N,-10,-10,391406.7832,7084965.872,400,NA,,
HEAL,HEAL_049.basePlot.ltr,31,N,391416.99,7084825.768,6N,0,0,391416.99,7084825.768,400,NA,,
HEAL,HEAL_050.basePlot.ltr,31,N,391626.2873,7084886.434,6N,0,0,391626.2873,7084886.434,400,NA,,
HEAL,HEAL_051.basePlot.ltr,31,Y,391056.901,7084885.995,6N,0,0,391056.901,7084885.995,400,NA,,
HEAL,HEAL_052.basePlot.ltr,31,N,391295.6619,7084644.973,6N,0,0,391295.6619,7084644.973,400,NA,,
HEAL,HEAL_053.basePlot.ltr,31,N,390967.6212,7084795.874,6N,0,0,390967.6212,7084795.874,400,NA,,
HEAL,HEAL_054.basePlot.ltr,31,N,391624.7225,7085003.242,6N,0,0,391624.7225,7085003.242,400,NA,,
HEAL,HEAL_055.basePlot.ltr,31,N,390816.7041,7084854.768,6N,0,0,390816.7041,7084854.768,400,NA,,
HEAL,HEAL_056.basePlot.ltr,31,N,391177.299,7084886.941,6N,0,0,391177.299,7084886.941,400,NA,,
HEAL,HEAL_057.basePlot.ltr,31,N,390876.621,7085005.232,6N,0,0,390876.621,7085005.232,400,NA,,
HEAL,HEAL_058.basePlot.ltr,31,N,391265.9336,7084825.542,6N,0,0,391265.9336,7084825.542,400,NA,,
HEAL,HEAL_059.basePlot.ltr,31,Y,391055.9589,7084675.042,6N,0,0,391055.9589,7084675.042,400,NA,,
HEAL,HEAL_060.basePlot.ltr,31,N,391506.5248,7084885.337,6N,0,0,391506.5248,7084885.337,400,NA,,
HEAL,HEAL_061.basePlot.ltr,31,Y,391236.0002,7084555.267,6N,0,0,391236.0002,7084555.267,400,NA,,
HEAL,HEAL_062.basePlot.ltr,31,N,391476.6941,7084735.269,6N,0,0,391476.6941,7084735.269,400,NA,,
HEAL,HEAL_063.basePlot.ltr,31,N,391267.2596,7084945.931,6N,0,0,391267.2596,7084945.931,400,NA,,
HEAL,HEAL_064.basePlot.ltr,31,N,391715.9772,7084855.343,6N,0,0,391715.9772,7084855.343,400,NA,,
HEAL,HEAL_065.basePlot.ltr,31,N,390875.9285,7084945.819,6N,0,0,390875.9285,7084945.819,400,NA,,
HEAL,HEAL_066.basePlot.ltr,31,Y,391175.9358,7084645.225,6N,0,0,391175.9358,7084645.225,400,NA,,
HEAL,HEAL_067.basePlot.ltr,31,N,391415.7585,7084645.493,6N,0,0,391415.7585,7084645.493,400,NA,,
HEAL,HEAL_068.basePlot.ltr,31,Y,391684.8799,7084944.29,6N,0,0,391684.8799,7084944.29,400,NA,,
HEAL,HEAL_069.basePlot.ltr,31,N,391176.9275,7084796.962,6N,0,0,391176.9275,7084796.962,400,NA,,
HEAL,HEAL_070.basePlot.ltr,31,N,391417.316,7084914.633,6N,0,0,391417.316,7084914.633,400,NA,,
HEAL,HEAL_071.basePlot.ltr,31,N,391566.8503,7084916.48,6N,0,0,391566.8503,7084916.48,400,NA,,
HEAL,HEAL_072.basePlot.ltr,31,N,391056.3534,7084974.891,6N,0,0,391056.3534,7084974.891,400,NA,,
