siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
SJER,SJER_061.basePlot.ltr,41,Y,256597.9056,4111001.014,11N,10,10,256607,4111011,400,82,20.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_061.basePlot.ltr,39,N,256597.9056,4111001.014,11N,-10,10,256587,4111011,400,18,4.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_062.basePlot.ltr,23,N,257017.0554,4110851.206,11N,10,-10,257027,4110841,400,0,0,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_062.basePlot.ltr,21,Y,257017.0554,4110851.206,11N,-10,-10,257007,4110841,400,56,14,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_063.basePlot.ltr,41,Y,256628.1078,4110669.953,11N,10,10,256638,4110679,400,128,32,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_063.basePlot.ltr,23,Y,256628.1078,4110669.953,11N,10,-10,256638,4110659,400,115,28.75,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_064.basePlot.ltr,39,Y,257737.2013,4110459.426,11N,-10,10,257727,4110469,400,110,27.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_064.basePlot.ltr,21,Y,257737.2013,4110459.426,11N,-10,-10,257727,4110449,400,117,29.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SOAP,SOAP_031.basePlot.ltr,39,Y,299684.1956,4101165.021,11N,-10,10,299674,4101175,400,167,41.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_031.basePlot.ltr,21,Y,299684.1956,4101165.021,11N,-10,-10,299674,4101155,400,363,90.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_043.basePlot.ltr,23,Y,298214.5397,4101101.043,11N,10,-10,298224,4101091,400,320,80,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_043.basePlot.ltr,39,Y,298214.5397,4101101.043,11N,-10,10,298204,4101111,400,295,73.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_044.basePlot.ltr,21,Y,298154.0252,4100769.535,11N,-10,-10,298144,4100759,400,306,76.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_044.basePlot.ltr,41,Y,298154.0252,4100769.535,11N,10,10,298164,4100779,400,327,81.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_045.basePlot.ltr,23,Y,299204.778,4100919.602,11N,10,-10,299214,4100909,400,201,50.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
