,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
842,SRER,SRER_057.basePlot.ltr,41,Y,515516.5961,3530646.154,12N,10,10,515526,3530656,400,12,3,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
843,SRER,SRER_058.basePlot.ltr,41,Y,515816.047,3530570.131,12N,10,10,515826,3530580,400,40,10,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
844,SRER,SRER_058.basePlot.ltr,23,Y,515816.047,3530570.131,12N,10,-10,515826,3530560,400,26,6.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
845,SRER,SRER_059.basePlot.ltr,21,Y,515695.542,3530542.457,12N,-10,-10,515685,3530532,400,17,4.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
846,SRER,SRER_059.basePlot.ltr,41,Y,515695.542,3530542.457,12N,10,10,515705,3530552,400,21,5.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
510,NIWO,NIWO_040.basePlot.ltr,31,Y,450123.0828,4433086.919,13N,0,0,450123,4433086,400,325,81.25,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
511,NIWO,NIWO_041.basePlot.ltr,31,Y,450274.7866,4433508.379,13N,0,0,450274,4433508,400,167,41.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
512,NIWO,NIWO_041.basePlot.ltr,31,Y,450274.7866,4433508.379,13N,0,0,450274,4433508,400,167,41.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
513,NIWO,NIWO_046.basePlot.ltr,31,Y,450003.3883,4433266.855,13N,0,0,450003,4433266,400,225,56.25,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
514,NIWO,NIWO_046.basePlot.ltr,31,Y,450003.3883,4433266.855,13N,0,0,450003,4433266,400,225,56.25,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
515,NIWO,NIWO_047.basePlot.ltr,31,Y,450155.6073,4433987.224,13N,0,0,450155,4433987,400,0,0,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
516,NIWO,NIWO_051.basePlot.ltr,31,Y,450064.1567,4433297.645,13N,0,0,450064,4433297,400,127,31.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
517,NIWO,NIWO_051.basePlot.ltr,31,Y,450064.1567,4433297.645,13N,0,0,450064,4433297,400,127,31.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
518,NIWO,NIWO_057.basePlot.ltr,31,Y,450093.106,4433146.61,13N,0,0,450093,4433146,400,304,76,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
519,NIWO,NIWO_057.basePlot.ltr,31,Y,450093.106,4433146.61,13N,0,0,450093,4433146,400,304,76,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
520,NIWO,NIWO_058.basePlot.ltr,31,Y,449913.9775,4433329.713,13N,0,0,449913,4433329,400,89,22.25,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
521,NIWO,NIWO_058.basePlot.ltr,31,Y,449913.9775,4433329.713,13N,0,0,449913,4433329,400,89,22.25,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
522,NIWO,NIWO_061.basePlot.ltr,31,Y,450004.955,4433206.795,13N,0,0,450004,4433206,400,249,62.25000000000001,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
523,NIWO,NIWO_061.basePlot.ltr,31,Y,450004.955,4433206.795,13N,0,0,450004,4433206,400,249,62.25000000000001,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
524,NIWO,NIWO_062.basePlot.ltr,31,Y,450034.568,4433597.643,13N,0,0,450034,4433597,400,3,0.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
525,NIWO,NIWO_062.basePlot.ltr,31,Y,450034.568,4433597.643,13N,0,0,450034,4433597,400,3,0.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
526,NIWO,NIWO_063.basePlot.ltr,31,Y,450095.174,4433357.491,13N,0,0,450095,4433357,400,115,28.749999999999996,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
527,NIWO,NIWO_063.basePlot.ltr,31,Y,450095.174,4433357.491,13N,0,0,450095,4433357,400,115,28.749999999999996,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
528,NIWO,NIWO_064.basePlot.ltr,31,Y,450184.5047,4433178.199,13N,0,0,450184,4433178,400,171,42.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
529,NIWO,NIWO_064.basePlot.ltr,31,Y,450184.5047,4433178.199,13N,0,0,450184,4433178,400,171,42.75,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
530,NIWO,NIWO_067.basePlot.ltr,31,Y,450096.7883,4433447.388,13N,0,0,450096,4433447,400,134,33.5,2024,2024-07-23T15:00:00.000Z,2024-08-06T14:00:00.000Z
405,JERC,JERC_047.basePlot.ltr,23,Y,741333.085,3454357.886,16N,10,-10,741343,3454347,400,400,100,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
