siteid,75th,95th
BONA,15.1,23.4
DEJU,12.2,16.2
HEAL,12,14
NIWO,14.1,25.1
RMNP,25.1,38.2
SJER,29.3,47.7
SOAP,25,50.5
SRER,7.3,10.8
TEAK,26.4,58.4
WREF,24.9,55.4
YELL,31,50
