transectID,easting,northing,dbh.cm,stemrad.m,maxcanopy.m,canopyrad.m,firstbranch.m,height.m,status
1,387749.84,3292588.9,19,0.095,2.4,1.2,12.1,16.2,Alive
1,387749.77,3292587.2,19.2,0.096,2.4,1.2,10.2,16.6,Alive
1,387749.62,3292583.5,26.2,0.131,2.5,1.3,9.6,15.1,Double-bole
1,387749.54,3292581.3,10,0.05,1.7,0.9,10.7,14.1,Alive
1,387749.38,3292577.21,18,0.09,3.6,1.8,10.4,16.9,Alive
1,387749.28,3292574.61,17.5,0.088,3.3,1.7,7.9,13,Alive
1,387749.04,3292568.61,21.5,0.108,2.4,1.2,11.1,16.1,Alive
1,387748.69,3292559.52,18.4,0.092,2.4,1.2,11.3,17.4,Alive
1,387748.56,3292556.32,17.7,0.089,2.3,1.2,10.7,16.2,Alive
1,387748.38,3292551.73,17.5,0.088,2.3,1.2,12.2,16.7,Alive
1,387748.28,3292549.23,15.4,0.077,1.7,0.9,10.8,16.7,Alive
1,387748.07,3292543.73,17.3,0.087,2,1,12.2,14.1,Alive
1,387747.94,3292540.33,18.2,0.091,2.7,1.4,11.2,18.5,Alive
1,387747.81,3292537.04,13.7,0.069,1.4,0.7,8.6,12.2,Alive
1,387747.63,3292532.64,9,0.045,1.9,1,9.5,12.9,Alive
1,387747.54,3292530.24,17.6,0.088,2.9,1.5,10.3,16.3,Alive
1,387747.4,3292526.74,17.9,0.09,2,1,10.3,15.1,Alive
1,387747.29,3292523.85,27.8,0.139,2.2,1.1,12.2,18.6,Double-bole
1,387747.19,3292521.25,16.7,0.084,3,1.5,11.9,17,Alive
1,387747.09,3292518.65,14.4,0.072,2.7,1.4,11.3,16.8,Alive
1,387746.97,3292515.65,16.1,0.081,1.9,1,12.1,16,Alive
1,387746.79,3292510.96,14.8,0.074,3.2,1.6,9.7,14.7,Alive
1,387746.64,3292507.26,18.7,0.094,2.8,1.4,11,17.9,Alive
1,387746.44,3292502.06,15.7,0.079,2,1,11.1,15.4,Alive
1,387746.29,3292498.17,19.6,0.098,3.2,1.6,10.5,16.8,Alive
1,387746.13,3292494.07,14.7,0.074,2.2,1.1,12.5,16.4,Alive
1,387746.04,3292491.97,17.6,0.088,2.3,1.2,11.4,17.6,Alive
1,387745.91,3292488.47,12.9,0.065,1.8,0.9,11.6,15.9,Alive
1,387745.79,3292485.58,13.4,0.067,2.2,1.1,9.7,14.6,Alive
1,387745.41,3292475.88,11.8,0.059,1.6,0.8,11.3,15.1,Alive
1,387745.31,3292473.29,15.8,0.079,2.4,1.2,10,15,Alive
1,387745.12,3292468.49,9.8,0.049,1.8,0.9,9.4,11.3,Alive
