transectID,site,group,position.m,pos.bin,easting,northing,lai,lai.quant
DT03,DT,lower,0,0,387627.972,3292042.380,NA,NA
DT03,DT,lower,10,0,387618.851,3292046.479,NA,NA
DT03,DT,lower,20,0,387609.729,3292050.578,NA,NA
DT03,DT,lower,30,0,387600.608,3292054.677,NA,NA
DT03,DT,lower,40,0,387591.487,3292058.776,NA,NA
DT03,DT,lower,50,50,387582.015,3292063.033,NA,NA
DT03,DT,lower,60,50,387572.832,3292066.991,NA,NA
DT03,DT,lower,70,50,387563.648,3292070.948,NA,NA
DT03,DT,lower,80,50,387554.465,3292074.906,NA,NA
DT03,DT,lower,90,50,387545.281,3292078.864,NA,NA
DT03,DT,lower,100,100,387537.271,3292082.316,NA,NA
DT03,DT,lower,110,100,387528.232,3292086.594,NA,NA
DT03,DT,lower,120,100,387519.193,3292090.871,NA,NA
DT03,DT,lower,130,100,387510.154,3292095.149,NA,NA
DT03,DT,lower,140,100,387501.115,3292099.427,NA,NA
DT03,DT,lower,150,150,387492.310,3292103.594,NA,NA
DT03,DT,lower,160,150,387483.155,3292107.616,NA,NA
DT03,DT,lower,170,150,387473.999,3292111.639,NA,NA
DT03,DT,lower,180,150,387464.844,3292115.661,NA,NA
DT03,DT,lower,190,150,387455.689,3292119.683,NA,NA
DT03,DT,lower,200,200,387446.653,3292123.653,NA,NA
DT03,DT,lower,210,200,387437.585,3292127.869,NA,NA
DT03,DT,lower,220,200,387428.518,3292132.086,NA,NA
DT03,DT,lower,230,200,387419.450,3292136.302,NA,NA
DT03,DT,lower,240,200,387410.382,3292140.519,0.64,0.4
DT03,DT,lower,250,250,387401.207,3292144.785,0.91,0.8
DT03,DT,lower,260,250,387392.359,3292149.444,0.82,0.6
DT03,DT,lower,270,250,387383.510,3292154.103,0.67,0.6
DT03,DT,lower,280,250,387374.662,3292158.762,0.88,0.6
DT03,DT,lower,290,250,387365.814,3292163.422,0.83,0.6
DT03,DT,lower,300,300,387355.949,3292168.616,0.7,0.6
DT03,DT,lower,310,300,387346.957,3292172.991,1.89,1.0
DT03,DT,lower,320,300,387337.965,3292177.366,0.66,0.4
DT03,DT,lower,330,300,387328.973,3292181.741,1.07,0.8
DT03,DT,lower,340,300,387319.980,3292186.116,0.82,0.6
DT03,DT,lower,350,350,387312.457,3292189.777,1.46,1.0
DT03,DT,lower,360,350,387303.357,3292193.922,1.12,0.8
DT03,DT,lower,370,350,387294.256,3292198.068,1.57,1.0
DT03,DT,lower,380,350,387285.156,3292202.213,1.09,0.8
DT03,DT,lower,390,350,387276.056,3292206.359,0.79,0.6
DT03,DT,lower,400,400,387267.815,3292210.113,1.41,1.0
DT03,DT,lower,410,400,387259.073,3292214.968,1.26,1.0
DT03,DT,lower,420,400,387250.331,3292219.824,2.5,1.0
DT03,DT,lower,430,400,387241.588,3292224.679,2.49,1.0
DT03,DT,lower,440,400,387232.846,3292229.534,1.17,1.0
DT03,DT,lower,450,450,387222.762,3292235.135,1.72,1.0
DT03,DT,lower,460,450,387213.490,3292238.880,3.02,1.0
DT03,DT,lower,470,450,387204.218,3292242.625,0.85,0.6
DT03,DT,lower,480,450,387194.945,3292246.370,2.52,1.0
DT03,DT,lower,490,450,387185.673,3292250.116,0.4,0.2
DT03,DT,lower,500,500,387176.128,3292253.971,1.32,1.0
DT04,DT,lower,0,0,387536.939,3292286.903,NA,NA
DT04,DT,lower,10,0,387527.901,3292291.182,NA,NA
DT04,DT,lower,20,0,387518.862,3292295.460,NA,NA
DT04,DT,lower,30,0,387509.824,3292299.739,NA,NA
DT04,DT,lower,40,0,387500.785,3292304.017,NA,NA
DT04,DT,lower,50,50,387491.182,3292308.563,NA,NA
DT04,DT,lower,60,50,387481.924,3292312.344,NA,NA
DT04,DT,lower,70,50,387472.667,3292316.126,NA,NA
DT04,DT,lower,80,50,387463.409,3292319.907,NA,NA
DT04,DT,lower,90,50,387454.152,3292323.688,NA,NA
DT04,DT,lower,100,100,387444.311,3292327.708,NA,NA
DT04,DT,lower,110,100,387434.963,3292331.260,NA,NA
DT04,DT,lower,120,100,387425.616,3292334.813,NA,NA
DT04,DT,lower,130,100,387416.268,3292338.365,NA,NA
DT04,DT,lower,140,100,387406.920,3292341.918,NA,NA
DT04,DT,lower,150,150,387398.762,3292345.018,NA,NA
DT04,DT,lower,160,150,387389.735,3292349.320,NA,NA
DT04,DT,lower,170,150,387380.707,3292353.622,NA,NA
DT04,DT,lower,180,150,387371.680,3292357.924,NA,NA
DT04,DT,lower,190,150,387362.653,3292362.226,0.76,0.6
DT04,DT,lower,200,200,387352.855,3292366.895,0.3,0.2
DT04,DT,lower,210,200,387343.816,3292371.172,0.66,0.4
DT04,DT,lower,220,200,387334.776,3292375.449,0.79,0.6
DT04,DT,lower,230,200,387325.737,3292379.726,0.79,0.6
DT04,DT,lower,240,200,387316.698,3292384.002,0.26,0.2
DT04,DT,lower,250,250,387307.583,3292388.315,0.66,0.4
DT04,DT,lower,260,250,387298.446,3292392.379,1.1,0.8
DT04,DT,lower,270,250,387289.309,3292396.443,0.69,0.6
DT04,DT,lower,280,250,387280.172,3292400.507,1.04,0.8
DT04,DT,lower,290,250,387271.035,3292404.571,0.74,0.6
DT04,DT,lower,300,300,387261.488,3292408.818,0.98,0.8
DT04,DT,lower,310,300,387252.383,3292412.952,0.88,0.6
DT04,DT,lower,320,300,387243.277,3292417.086,0.99,0.8
DT04,DT,lower,330,300,387234.172,3292421.220,1.48,1.0
DT04,DT,lower,340,300,387225.066,3292425.354,0.74,0.6
DT04,DT,lower,350,350,387215.430,3292429.729,0.68,0.6
DT04,DT,lower,360,350,387206.526,3292434.280,1.09,0.8
DT04,DT,lower,370,350,387197.621,3292438.831,2.11,1.0
DT04,DT,lower,380,350,387188.717,3292443.383,0.67,0.6
DT04,DT,lower,390,350,387179.813,3292447.934,0.78,0.6
DT04,DT,lower,400,400,387171.441,3292452.213,0.62,0.4
DT04,DT,lower,410,400,387162.258,3292456.172,1.09,0.8
DT04,DT,lower,420,400,387153.075,3292460.130,2.8,1.0
DT04,DT,lower,430,400,387143.892,3292464.089,0.7,0.6
DT04,DT,lower,440,400,387134.708,3292468.047,2.82,1.0
DT04,DT,lower,450,450,387126.371,3292471.641,4.41,1.0
DT04,DT,lower,460,450,387116.959,3292475.020,2.42,1.0
DT04,DT,lower,470,450,387107.548,3292478.400,1.16,0.8
DT04,DT,lower,480,450,387098.136,3292481.779,2.15,1.0
DT04,DT,lower,490,450,387088.724,3292485.159,1.75,1.0
DT04,DT,lower,500,500,387078.283,3292488.908,4.45,1.0
DT05,DT,upper,0,0,387392.709,3293037.966,NA,NA
DT05,DT,upper,10,0,387387.449,3293046.471,NA,NA
DT05,DT,upper,20,0,387382.188,3293054.975,NA,NA
DT05,DT,upper,30,0,387376.928,3293063.480,NA,NA
DT05,DT,upper,40,0,387371.667,3293071.984,NA,NA
DT05,DT,upper,50,50,387366.224,3293080.785,NA,NA
DT05,DT,upper,60,50,387361.404,3293089.547,NA,NA
DT05,DT,upper,70,50,387356.584,3293098.309,NA,NA
DT05,DT,upper,80,50,387351.765,3293107.070,NA,NA
DT05,DT,upper,90,50,387346.945,3293115.832,NA,NA
DT05,DT,upper,100,100,387342.663,3293123.616,NA,NA
DT05,DT,upper,110,100,387337.394,3293132.115,NA,NA
DT05,DT,upper,120,100,387332.126,3293140.615,NA,NA
DT05,DT,upper,130,100,387326.857,3293149.114,NA,NA
DT05,DT,upper,140,100,387321.588,3293157.614,NA,NA
DT05,DT,upper,150,150,387315.752,3293167.029,NA,NA
DT05,DT,upper,160,150,387310.498,3293175.537,NA,NA
DT05,DT,upper,170,150,387305.244,3293184.046,NA,NA
DT05,DT,upper,180,150,387299.989,3293192.554,NA,NA
DT05,DT,upper,190,150,387294.735,3293201.063,NA,NA
DT05,DT,upper,200,200,387289.349,3293209.785,1.19,1.0
DT05,DT,upper,210,200,387283.996,3293218.232,0.34,0.2
DT05,DT,upper,220,200,387278.644,3293226.679,0.99,0.8
DT05,DT,upper,230,200,387273.291,3293235.126,1.07,0.8
DT05,DT,upper,240,200,387267.939,3293243.573,1.94,1.0
DT05,DT,upper,250,250,387263.081,3293251.239,0.95,0.8
DT05,DT,upper,260,250,387257.914,3293259.800,0.66,0.4
DT05,DT,upper,270,250,387252.746,3293268.362,1.32,1.0
DT05,DT,upper,280,250,387247.579,3293276.923,1.05,0.8
DT05,DT,upper,290,250,387242.412,3293285.485,1.11,0.8
DT05,DT,upper,300,300,387236.942,3293294.547,1.19,1.0
DT05,DT,upper,310,300,387231.963,3293303.219,1.33,1.0
DT05,DT,upper,320,300,387226.984,3293311.891,1.24,1.0
DT05,DT,upper,330,300,387222.004,3293320.564,0.58,0.4
DT05,DT,upper,340,300,387217.025,3293329.236,0.56,0.4
DT05,DT,upper,350,350,387212.417,3293337.262,0.95,0.8
DT05,DT,upper,360,350,387206.826,3293345.553,0.73,0.6
DT05,DT,upper,370,350,387201.234,3293353.843,0.36,0.2
DT05,DT,upper,380,350,387195.643,3293362.134,0.65,0.4
DT05,DT,upper,390,350,387190.051,3293370.425,0.51,0.4
DT05,DT,upper,400,400,387184.404,3293378.798,0.33,0.2
DT05,DT,upper,410,400,387179.344,3293387.423,0.62,0.4
DT05,DT,upper,420,400,387174.284,3293396.048,0.67,0.6
DT05,DT,upper,430,400,387169.223,3293404.674,0.59,0.4
DT05,DT,upper,440,400,387164.163,3293413.299,0.61,0.4
DT05,DT,upper,450,450,387158.912,3293422.250,0.58,0.4
DT05,DT,upper,460,450,387153.505,3293430.662,0.65,0.4
DT05,DT,upper,470,450,387148.099,3293439.075,0.7,0.6
DT05,DT,upper,480,450,387142.692,3293447.487,0.62,0.4
DT05,DT,upper,490,450,387137.285,3293455.900,0.88,0.6
DT05,DT,upper,500,500,387132.105,3293463.960,0.98,0.8
DT06,DT,upper,0,0,387191.074,3292992.834,NA,NA
DT06,DT,upper,10,0,387186.091,3293001.504,NA,NA
DT06,DT,upper,20,0,387181.108,3293010.174,NA,NA
DT06,DT,upper,30,0,387176.125,3293018.844,NA,NA
DT06,DT,upper,40,0,387171.143,3293027.514,NA,NA
DT06,DT,upper,50,50,387166.310,3293035.923,NA,NA
DT06,DT,upper,60,50,387160.563,3293044.107,NA,NA
DT06,DT,upper,70,50,387154.816,3293052.290,NA,NA
DT06,DT,upper,80,50,387149.069,3293060.474,NA,NA
DT06,DT,upper,90,50,387143.322,3293068.657,NA,NA
DT06,DT,upper,100,100,387137.763,3293076.573,NA,NA
DT06,DT,upper,110,100,387131.999,3293084.745,NA,NA
DT06,DT,upper,120,100,387126.235,3293092.916,2,1.0
DT06,DT,upper,130,100,387120.471,3293101.088,1.3,1.0
DT06,DT,upper,140,100,387114.707,3293109.260,0.79,0.6
DT06,DT,upper,150,150,387108.881,3293117.519,1.53,1.0
DT06,DT,upper,160,150,387104.001,3293126.248,1.2,1.0
DT06,DT,upper,170,150,387099.121,3293134.976,3.01,1.0
DT06,DT,upper,180,150,387094.242,3293143.705,1.11,0.8
DT06,DT,upper,190,150,387089.362,3293152.433,2.03,1.0
DT06,DT,upper,200,200,387084.356,3293161.387,1.68,1.0
DT06,DT,upper,210,200,387078.973,3293169.814,0.85,0.6
DT06,DT,upper,220,200,387073.589,3293178.241,0.89,0.6
DT06,DT,upper,230,200,387068.206,3293186.669,2.25,1.0
DT06,DT,upper,240,200,387062.822,3293195.096,1.37,1.0
DT06,DT,upper,250,250,387057.771,3293203.003,0.57,0.4
DT06,DT,upper,260,250,387053.095,3293211.842,0.54,0.4
DT06,DT,upper,270,250,387048.418,3293220.681,0.65,0.4
DT06,DT,upper,280,250,387043.742,3293229.521,0.92,0.8
DT06,DT,upper,290,250,387039.065,3293238.360,0.77,0.6
DT06,DT,upper,300,300,387034.500,3293246.989,1.42,1.0
DT06,DT,upper,310,300,387029.744,3293255.786,0.76,0.6
DT06,DT,upper,320,300,387024.988,3293264.582,1.02,0.8
