speciesID,maxcanopy.m,mincanopy.m,firstbranch.m,height.m
Pipa,0.5,0.5,3,3.8
Pipa,2,0.6,2.7,7
Pipa,2,0.7,4.2,8.8
Pipa,1.2,0.8,2.5,5.3
Pipa,3.1,0.8,4.3,9
Pipa,2.7,0.8,3.8,10.9
Pipa,1,0.9,3,4
Pipa,1.4,1,1.7,5.2
Pipa,2,1,4.7,11.5
Pipa,3,1,4.4,11.6
Pipa,1.2,1.1,3.2,5
Pipa,1.4,1.1,3.7,5.1
Pipa,2,1.1,3.8,9.7
Pipa,3.1,1.1,4.7,10.5
Pipa,2.7,1.2,5.6,7.9
Pipa,2,1.3,3.8,5.9
Pipa,1.7,1.3,5,7.5
Pipa,2.2,1.3,6,9.4
Pipa,3.4,1.5,9,12.6
Pipa,1.9,1.5,3.8,6.8
Pipa,1.8,1.6,3.7,6.7
Pipa,3.3,1.6,5.4,12.7
Pipa,4,1.6,8.5,14.2
Pipa,1.8,1.7,3,6.7
Pipa,1.9,1.7,5.1,8.5
Pipa,1.9,1.7,5.6,7.6
Pipa,2.3,1.8,4.3,7.9
Pipa,2.5,1.8,4.3,9.1
Pipa,5,1.9,2.6,10.1
Pipa,2.3,2.1,4.6,7.4
Pipa,2.3,2.1,4.7,8.4
Pipa,3.3,2.2,2.3,10.8
Pipa,2.3,2.3,5.3,12.3
Pipa,2.5,2.4,3.3,9.1
Pipa,5.2,2.4,4.1,13.6
Pipa,5.6,2.5,5,12.4
Pipa,3.4,2.8,3.7,9.2
Pipa,7.5,2.8,8.1,19.2
Pipa,3.3,3.1,6.1,13.5
Pipa,4.2,3.3,8,15.5
Pipa,4.1,3.7,6.1,13.3
Pipa,4.2,3.7,9.4,15.4
Pipa,11,4,7.6,16.8
Pipa,10.7,4.1,8.3,18.5
Pipa,4.6,4.2,9.1,14.2
Pipa,7,4.2,5.1,13.8
Pipa,7,4.2,9.4,18.9
Pipa,9.7,4.2,10.4,20.1
Pipa,9.6,4.4,7.6,19.7
Pipa,10.3,4.7,6.9,15.7
Pipa,5.9,4.8,8.5,18.3
Pipa,7.8,4.8,7.3,19.4
Pipa,12.1,4.9,8.7,19.9
Pipa,7.3,5,4.4,16.1
Pipa,7.7,5,7.4,17.8
Pipa,6.8,5.4,6.4,18.1
Pipa,6.4,6,7.4,16.4
Pipa,8.9,6.3,7.3,14.9
Pipa,7.5,6.4,8.3,16.8
Pipa,9.2,7.4,10.2,20.8
Pipa,10.3,7.8,7.2,14.6
Pipa,10.8,8.8,10.8,19.6
Pipa,10,9.4,8.4,18.9
Pipa,13.2,11.3,8.9,20.4
Pipa,0.8,0.6,1.8,2.4
Qula,0.7,0.3,2.9,6.2
Qula,2.7,0.4,3.5,8.8
Qula,0.9,0.8,0.6,4.1
Qula,1.3,0.8,2.6,4.8
Qula,0.8,0.8,4.7,9.1
Qula,1.8,0.9,1.8,4.7
Qula,1.1,0.9,2.6,7.7
Qula,1.3,1,2.2,5.3
Qula,1.2,1,2.1,5.1
Qula,2.1,1,1.4,6.4
Qula,2.2,1,2.4,8.2
Qula,1.4,1.1,1.5,5.7
Qula,2.8,1.1,1.4,5.1
Qula,1.2,1.1,2.4,5.7
Qula,2.8,1.2,1.5,4.9
Qula,1.2,1.3,1.5,6.1
Qula,1.8,1.3,2.6,7.7
Qula,3.7,1.3,4.9,8
Qula,2.8,1.3,1.2,7.7
Qula,2.7,1.3,1.8,7.9
Qula,1.8,1.3,3.5,7.9
Qula,3.2,1.3,2.7,8
Qula,1.5,1.4,1.3,7.1
Qula,2.6,1.4,1.8,7
Qula,3.6,1.4,1.2,6.9
Qula,1.7,1.5,2,4.5
Qula,2.5,1.6,1.6,7.8
Qula,4.1,1.6,2.7,13.1
Qula,5,1.6,1.7,17.4
Qula,2.3,1.7,0.8,6.3
Qula,2.6,1.8,1.3,7.2
Qula,1.9,1.8,1.3,5.3
Qula,3.1,1.8,2.1,7.6
Qula,2.1,2.1,1.3,9.2
Qula,6.9,2.2,2.8,12.3
Qula,2.5,2.2,1.8,10.7
Qula,4.5,2.3,1.6,7.2
Qula,4.8,2.3,2.6,8.6
Qula,3.7,2.8,1.4,8.9
Qula,7.3,2.8,1.9,14
Qula,4.7,3.1,2.5,9.4
Qula,4.3,3.8,2.3,15.9
Qula,4.7,4,3,10.1
Qula,8,4.7,2.1,7.6
Qula,7.9,5.1,2.2,14.6
Qula,5.4,5.2,2.1,14.2
Qula,9.2,5.3,1.8,11.5
Qula,5.6,5.5,4.1,16
Qula,6.3,5.6,2.3,18
Qula,9,1.3,0.9,3.1
