speciesID,PC1,PC2,PC3,PC4
Pipa,3.061074268,0.222602838,0.70380807,0.759464562
Pipa,1.720384824,1.223843177,-0.54869953,-0.067567099
Pipa,1.382951507,-0.359072865,0.060526562,0.104267927
Pipa,2.692337456,1.083864604,0.251431497,-0.03887865
Pipa,3.458024246,1.030297272,0.554756383,0.547769784
Pipa,2.954756294,0.136895848,0.731094496,0.238613723
Pipa,2.589881238,-0.334803261,0.261581168,0.747232544
Pipa,2.428830673,0.834260845,-0.028758156,-0.418988009
Pipa,2.661047515,0.218813899,0.423162787,-0.240086724
Pipa,3.717830576,0.020535567,0.713114304,0.823586434
Pipa,1.75702203,-0.718023456,0.199545372,-0.309006288
Pipa,2.536751714,0.185830541,0.132049728,-0.097000471
Pipa,2.338507754,-0.062222547,0.062543528,-0.514375432
Pipa,2.40837004,0.143297174,-0.497566349,-0.399918725
Pipa,2.726954593,-0.343258927,-0.53920442,0.291582782
Pipa,2.895198352,0.191999577,-0.568981511,-0.165384992
Pipa,4.197998254,0.430745355,-0.424197515,-0.213081998
Pipa,3.282716302,-0.877235006,-0.922480647,0.384824603
Pipa,4.788463683,0.080381307,-0.947101376,0.124482686
Pipa,4.301704901,-0.675051526,-1.049547199,-0.335233588
Pipa,5.562889608,-1.31930915,-1.225262872,-0.044003213
Pipa,-2.373020862,-0.048233304,-0.465177117,0.281489277
Qula,-1.857473275,0.454756736,-0.007429823,-0.022541686
Qula,-1.104594021,0.393875356,0.41975255,0.177632965
Qula,-2.333042976,-0.428661768,-0.172757806,-0.058818903
Qula,-1.837607032,0.144145709,-0.260742137,0.164470478
Qula,-1.086674947,0.964921009,0.01737631,-0.234558981
Qula,-1.879356636,-0.195412622,-0.172152694,0.188884283
Qula,-1.532055475,0.22385207,0.060283401,-0.241520159
Qula,-1.804525853,-0.005614187,-0.218464364,0.028681762
Qula,-1.860845116,-0.026723584,-0.242887211,0.018616716
Qula,-1.689322788,-0.33968697,0.085491434,-0.00285664
Qula,-1.30108165,-0.003627951,0.218307234,-0.085745646
Qula,-1.842482773,-0.244649415,-0.11451838,-0.087433646
Qula,-1.686895507,-0.491851534,-0.047490072,0.29514205
Qula,-1.718455694,0.060275209,-0.230779653,-0.037176815
Qula,-1.666556984,-0.485640119,-0.116582939,0.312575668
Qula,-1.784059952,-0.24528923,-0.147344432,-0.214637374
Qula,-1.314862861,0.044460735,-0.003413459,-0.148060479
Qula,-0.554828341,0.483200409,-0.032351373,0.499969794
Qula,-1.390513771,-0.529238223,0.243043948,-0.067643096
Qula,-1.280423491,-0.325904094,0.194411839,-0.050121418
Qula,-1.135056004,0.325394849,-0.074926776,-0.075416844
Qula,-1.026359338,-0.119524327,0.157665722,0.149459662
Qula,-1.634955582,-0.345221387,-0.001256597,-0.302179355
Qula,-1.370731023,-0.352950472,0.036643886,0.016389186
Qula,-1.316735167,-0.683679325,0.183838211,0.194235372
Qula,-1.735952505,-0.242122299,-0.42452263,0.109379924
Qula,-1.286950269,-0.419646451,0.086346314,-0.156506458
Qula,-0.245489608,-0.184247697,0.800979157,-0.297362511
Qula,0.199301425,-0.51634563,1.547275976,-0.705788201
Qula,-1.599986607,-0.692245753,-0.071635222,-0.127647623
Qula,-1.338799486,-0.579882777,-0.01400889,-0.12846085
Qula,-1.664413012,-0.525072144,-0.324832108,-0.064873788
Qula,-1.069703274,-0.396888946,-0.001402084,0.024934962
Qula,-1.133099299,-0.517977127,0.097611243,-0.530907743
Qula,0.308869751,-0.694533499,0.758490475,0.351035944
Qula,-0.789695497,-0.405461011,0.241863793,-0.579669599
Qula,-0.840115231,-0.859952598,-0.028418522,0.256437429
Qula,-0.461286465,-0.562462163,0.072042545,0.266905663
Qula,-0.704202293,-0.862619529,-0.027497947,-0.234836256
Qula,0.550634174,-1.104628645,0.91671407,0.044200362
Qula,-0.212910348,-0.716108368,-0.084598958,0.003170607
Qula,0.561648366,-0.699058838,0.506056451,-0.997625828
Qula,0.17151426,-0.722163548,-0.341967246,-0.178437182
Qula,0.475150249,-1.672232492,-0.479870492,0.662229476
Qula,1.33428572,-1.535471849,0.268974184,-0.245773686
Qula,0.872152225,-1.234846396,-0.042304664,-0.80162855
Qula,1.197532898,-1.96022433,-0.027558281,0.34354372
Qula,1.526573723,-0.66527518,-0.105752304,-0.805264983
Qula,1.571405551,-1.289409848,0.379759397,-1.090204588
Qula,-0.887491392,-1.627374269,0.274786927,1.871715522
