Transect,Position,Team,LAI
OS01,0,FSU,NA
OS01,10,FSU,NA
OS01,20,FSU,NA
OS01,30,FSU,NA
OS01,40,FSU,NA
OS01,50,FSU,NA
OS01,60,FSU,NA
OS01,70,FSU,NA
OS01,80,FSU,NA
OS01,90,FSU,NA
OS01,100,FSU,NA
OS01,110,FSU,NA
OS01,120,FSU,NA
OS01,130,FSU,NA
OS01,140,FSU,NA
OS01,150,FSU,NA
OS01,160,FSU,NA
OS01,170,FSU,NA
OS01,180,FSU,NA
OS01,190,FSU,NA
OS01,200,FSU,NA
OS01,210,FSU,NA
OS01,220,FSU,NA
OS01,230,FSU,NA
OS01,240,FSU,NA
OS01,250,FSU,NA
OS01,260,FSU,0.97
OS01,270,FSU,1.42
OS01,280,FSU,0.75
OS01,290,FSU,0.44
OS01,300,FSU,0.73
OS01,310,FSU,0.49
OS01,320,FSU,0.22
OS01,330,FSU,0.24
OS01,340,FSU,0.44
OS01,350,FSU,0.20
OS01,360,FSU,0.33
OS01,370,FSU,1.01
OS01,380,FSU,0.76
OS01,390,FSU,1.03
OS01,400,FSU,0.83
OS01,410,FSU,0.52
OS01,420,FSU,0.73
OS01,430,FSU,0.60
OS01,440,FSU,0.72
OS01,450,FSU,0.66
OS01,460,FSU,0.97
OS01,470,FSU,1.11
OS01,480,FSU,1.21
OS01,490,FSU,0.45
OS01,500,FSU,0.28
OS02,0,FSU,0.24
OS02,10,FSU,0.38
OS02,20,FSU,0.55
OS02,30,FSU,0.50
OS02,40,FSU,0.57
OS02,50,FSU,0.71
OS02,60,FSU,0.75
OS02,70,FSU,0.29
OS02,80,FSU,0.91
OS02,90,FSU,0.70
OS02,100,FSU,0.49
OS02,110,FSU,0.52
OS02,120,FSU,0.66
OS02,130,FSU,0.90
OS02,140,FSU,0.73
OS02,150,FSU,0.59
OS02,160,FSU,0.21
OS02,170,FSU,0.33
OS02,180,FSU,0.45
OS02,190,FSU,1.07
OS02,200,FSU,0.54
OS02,210,FSU,0.90
OS02,220,FSU,1.64
OS02,230,FSU,0.34
OS02,240,FSU,0.48
OS02,250,FSU,0.25
OS02,260,FSU,0.34
OS02,270,FSU,1.03
OS02,280,FSU,0.40
OS02,290,FSU,0.14
OS02,300,FSU,0.23
OS02,310,FSU,0.15
OS02,320,FSU,0.03
OS02,330,FSU,0.03
OS02,340,FSU,0.05
OS02,350,FSU,0.29
OS02,360,FSU,1.27
OS02,370,FSU,1.57
OS02,380,FSU,1.03
OS02,390,FSU,0.47
OS02,400,FSU,0.63
OS02,410,FSU,0.32
OS02,420,FSU,0.48
OS02,430,FSU,1.63
OS02,440,FSU,1.42
OS02,450,FSU,0.72
OS02,460,FSU,1.36
OS02,470,FSU,1.43
OS02,480,FSU,0.82
OS02,490,FSU,1.28
OS02,500,FSU,1.17
OS03,0,FSU,0.56
OS03,10,FSU,0.70
OS03,20,FSU,0.45
OS03,30,FSU,0.68
OS03,40,FSU,0.64
OS03,50,FSU,0.48
OS03,60,FSU,0.41
OS03,70,FSU,0.50
OS03,80,FSU,0.36
OS03,90,FSU,0.37
OS03,100,FSU,0.99
OS03,110,FSU,0.90
OS03,120,FSU,1.42
OS03,130,FSU,1.51
OS03,140,FSU,0.78
OS03,150,FSU,1.44
OS03,160,FSU,1.90
OS03,170,FSU,1.18
OS03,180,FSU,1.20
OS03,190,FSU,0.88
OS03,200,FSU,1.27
OS03,210,FSU,1.63
OS03,220,FSU,1.46
OS03,230,FSU,3.11
OS03,240,FSU,1.01
OS03,250,FSU,1.19
OS03,260,FSU,0.80
OS03,270,FSU,1.12
OS03,280,FSU,1.31
OS03,290,FSU,1.11
OS03,300,FSU,0.81
OS03,310,FSU,1.08
OS03,320,FSU,0.54
OS03,330,FSU,1.19
OS03,340,FSU,1.40
OS03,350,FSU,1.11
OS03,360,FSU,0.89
OS03,370,FSU,0.87
OS03,380,FSU,1.13
OS03,390,FSU,1.72
OS03,400,FSU,0.62
OS03,410,FSU,1.82
OS03,420,FSU,1.01
OS03,430,FSU,0.92
OS03,440,FSU,1.05
OS03,450,FSU,0.47
OS03,460,FSU,0.90
OS03,470,FSU,0.78
OS03,480,FSU,0.89
OS03,490,FSU,1.08
OS03,500,FSU,1.18
OS04,0,FSU,NA
OS04,10,FSU,NA
OS04,20,FSU,NA
OS04,30,FSU,NA
OS04,40,FSU,NA
OS04,50,FSU,NA
OS04,60,FSU,NA
OS04,70,FSU,NA
OS04,80,FSU,NA
OS04,90,FSU,NA
OS04,100,FSU,NA
OS04,110,FSU,NA
OS04,120,FSU,NA
OS04,130,FSU,NA
OS04,140,FSU,NA
OS04,150,FSU,NA
OS04,160,FSU,NA
OS04,170,FSU,NA
OS04,180,FSU,NA
OS04,190,FSU,NA
OS04,200,FSU,NA
OS04,210,FSU,NA
OS04,220,FSU,NA
OS04,230,FSU,NA
OS04,240,FSU,NA
OS04,250,FSU,NA
OS04,260,FSU,NA
OS04,270,FSU,NA
OS04,280,FSU,NA
OS04,290,FSU,NA
OS04,300,FSU,0.73
OS04,310,FSU,0.73
OS04,320,FSU,0.75
OS04,330,FSU,0.38
OS04,340,FSU,0.35
OS04,350,FSU,0.93
OS04,360,FSU,0.52
OS04,370,FSU,1.36
OS04,380,FSU,1.99
OS04,390,FSU,1.14
OS04,400,FSU,0.44
OS04,410,FSU,0.86
OS04,420,FSU,0.66
OS04,430,FSU,1.42
OS04,440,FSU,0.79
OS04,450,FSU,1.49
OS04,460,FSU,1.07
OS04,470,FSU,0.21
OS04,480,FSU,1.44
OS04,490,FSU,1.65
OS04,500,FSU,1.47
OS01,0,AOP,0.46
OS01,10,AOP,1.16
OS01,20,AOP,0.36
OS01,30,AOP,0.57
OS01,40,AOP,1.41
OS01,50,AOP,0.65
OS01,60,AOP,0.96
OS01,70,AOP,1.15
OS01,80,AOP,1.51
OS01,90,AOP,0.93
OS01,100,AOP,0.89
OS01,110,AOP,0.21
OS01,120,AOP,0.17
OS01,130,AOP,0.13
OS01,140,AOP,1.47
OS01,150,AOP,1.13
OS01,160,AOP,0.67
OS01,170,AOP,0.77
OS01,180,AOP,1.00
OS01,190,AOP,0.48
OS01,200,AOP,0.57
OS01,210,AOP,1.02
OS01,220,AOP,0.37
OS01,230,AOP,0.12
OS01,240,AOP,1.17
OS01,250,AOP,0.93
OS01,260,AOP,0.86
OS01,270,AOP,1.43
OS01,280,AOP,0.71
OS01,290,AOP,0.57
OS01,300,AOP,1.01
OS01,310,AOP,0.48
OS01,320,AOP,0.45
OS01,330,AOP,0.47
OS01,340,AOP,1.15
OS01,350,AOP,0.01
OS01,360,AOP,0.53
OS01,370,AOP,1.10
OS01,380,AOP,0.72
OS01,390,AOP,0.78
OS01,400,AOP,1.11
OS01,410,AOP,0.66
OS01,420,AOP,1.20
OS01,430,AOP,0.66
OS01,440,AOP,0.95
OS01,450,AOP,0.80
OS01,460,AOP,1.03
OS01,470,AOP,0.97
OS01,480,AOP,1.01
OS01,490,AOP,0.23
OS01,500,AOP,0.46
OS02,0,AOP,0.41
OS02,10,AOP,0.51
OS02,20,AOP,0.76
OS02,30,AOP,0.54
OS02,40,AOP,0.82
OS02,50,AOP,0.94
OS02,60,AOP,0.84
OS02,70,AOP,0.29
OS02,80,AOP,0.80
OS02,90,AOP,0.99
OS02,100,AOP,0.59
OS02,110,AOP,0.78
OS02,120,AOP,0.90
OS02,130,AOP,1.10
OS02,140,AOP,1.13
OS02,150,AOP,0.52
OS02,160,AOP,0.37
OS02,170,AOP,0.46
OS02,180,AOP,0.45
OS02,190,AOP,1.24
OS02,200,AOP,0.46
OS02,210,AOP,0.94
OS02,220,AOP,1.53
OS02,230,AOP,0.40
OS02,240,AOP,0.77
OS02,250,AOP,0.42
OS02,260,AOP,0.50
OS02,270,AOP,0.69
OS02,280,AOP,0.34
OS02,290,AOP,0.28
OS02,300,AOP,0.35
OS02,310,AOP,0.28
OS02,320,AOP,0.07
OS02,330,AOP,0.07
OS02,340,AOP,0.21
OS02,350,AOP,0.17
OS02,360,AOP,1.00
OS02,370,AOP,1.57
OS02,380,AOP,0.41
OS02,390,AOP,0.68
OS02,400,AOP,0.57
OS02,410,AOP,0.46
OS02,420,AOP,0.40
OS02,430,AOP,1.41
OS02,440,AOP,1.48
OS02,450,AOP,0.89
OS02,460,AOP,0.89
OS02,470,AOP,0.92
OS02,480,AOP,0.86
OS02,490,AOP,0.99
OS02,500,AOP,1.65
OS03,0,AOP,0.24
OS03,10,AOP,0.26
OS03,20,AOP,0.01
OS03,30,AOP,0.04
OS03,40,AOP,0.51
OS03,50,AOP,0.92
OS03,60,AOP,0.13
OS03,70,AOP,0.01
OS03,80,AOP,0.05
OS03,90,AOP,0.07
OS03,100,AOP,0.85
OS03,110,AOP,0.09
OS03,120,AOP,0.02
OS03,130,AOP,0.03
OS03,140,AOP,0.71
OS03,150,AOP,0.25
