"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D06","UKFS","UKFS_048","2018-10-25T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",130,"Y",3.7,14,14,"3",1.3,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm","4"
"2","D06","UKFS","UKFS_050","2018-10-24T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",220,"Y",19.5,38.4,NA,"4",6.9,"GLTR","Gleditsia triacanthos L.","3 - Heartwood sound",">=10cm","3"
"3","D06","UKFS","UKFS_006","2018-10-24T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",190,"Y",36.9,24.8,24.8,"5",3.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"4","D06","UKFS","UKFS_047","2018-11-29T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",340,"Y",30.4,34.5,NA,"6",9.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"5","D06","UKFS","UKFS_047","2018-11-29T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",340,"Y",27.4,34.2,25.1,"7",10.3,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm","4"
"6","D06","UKFS","UKFS_047","2018-11-29T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",220,"Y",4.8,12.4,NA,"8",8.4,"ULAM","Ulmus americana L.","3 - Heartwood sound",">=10cm","3"
"7","D06","UKFS","UKFS_047","2018-11-29T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",100,"Y",66,42,NA,"9",14.4,"QUERC","Quercus sp.","3 - Heartwood sound",">=10cm","3"
"8","D06","UKFS","UKFS_053","2018-11-29T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",350,"Y",17.8,18.1,NA,"10",6,"CAOV2","Carya ovata (Mill.) K. Koch","4 - Rotten throughout",">=10cm","4"
"9","D06","UKFS","UKFS_031","2018-11-09T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",70,"Y",21.4,18.1,17.8,"14",8.2,"JUNI","Juglans nigra L.","4 - Rotten throughout",">=10cm","4"
"10","D06","UKFS","UKFS_031","2018-11-09T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",310,"Y",25.1,19.4,19.2,"16",6,"CAOV2","Carya ovata (Mill.) K. Koch","4 - Rotten throughout",">=10cm","4"
"11","D06","UKFS","UKFS_031","2018-11-09T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",70,"Y",5.3,23.9,24.6,"17",7.1,"CAOV2","Carya ovata (Mill.) K. Koch","3 - Heartwood sound",">=10cm","3"
"12","D06","UKFS","UKFS_059","2018-10-24T00:00:00.000Z",2018,"CDW.2018.UKFS",5,"NEON.DOC.001711vD",20,"Y",63.2,30.9,NA,"18",21.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
