"","domainid","siteid","plotid_parent","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D05","TREE","TREE_011","2017-07-10T00:00:00.000Z",NA,NA,220,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"2","D05","TREE","TREE_011","2017-07-10T00:00:00.000Z",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"3","D05","TREE","TREE_011","2017-07-10T00:00:00.000Z",NA,NA,340,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"4","D05","TREE","TREE_008","2017-06-07T00:00:00.000Z",5,NA,220,35.6,"THOC2","3 - Heartwood sound","791",66.1,8.1,"THOC2","Y",">=10cm","3"
"5","D05","TREE","TREE_012","2017-06-06T00:00:00.000Z",5,NA,110,12.2,"LALA","2 - Sound round","1",4.8,6.3,"LALA","Y",">=10cm","2"
"6","D05","TREE","TREE_012","2017-06-06T00:00:00.000Z",5,NA,110,8.8,"LALA","2 - Sound round","L01",5.6,4.8,"LALA","Y","5-10cm","2"
"7","D05","TREE","TREE_012","2017-06-06T00:00:00.000Z",5,NA,110,14.5,"PICEA","4 - Rotten throughout","3",10,9,"PICEA","Y",">=10cm","4"
"8","D05","TREE","TREE_012","2017-06-06T00:00:00.000Z",5,NA,230,4.5,"PIMA","2 - Sound round","L01",1.3,2.65,"PIMA","Y","2-5cm","2"
"9","D05","TREE","TREE_042","2017-06-19T00:00:00.000Z",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"10","D05","TREE","TREE_042","2017-06-19T00:00:00.000Z",NA,NA,220,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"11","D05","TREE","TREE_042","2017-06-19T00:00:00.000Z",NA,NA,340,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"12","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,100,10.3,"ABBA","3 - Heartwood sound","779",0.55,1.76,"ABBA","Y",">=10cm","3"
"13","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,100,13.8,"ABBA","3 - Heartwood sound","778",1.35,2.5,"ABBA","Y",">=10cm","3"
"14","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,100,12.9,"ABBA","3 - Heartwood sound","777",2.95,6.6,"ABBA","Y",">=10cm","3"
"15","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,340,3.8,"ABBA","3 - Heartwood sound","L01",0.37,1.94,"ABBA","Y","2-5cm","3"
"16","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,340,13.4,"ABBA","3 - Heartwood sound","776",6.85,3.09,"ABBA","Y",">=10cm","3"
"17","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,340,15.9,"ABBA","3 - Heartwood sound","775",7.15,1.67,"ABBA","Y",">=10cm","3"
"18","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,220,7,"2PLANT-S","4 - Rotten throughout","L01",1.2,1.2,"2PLANT-S","Y","5-10cm","4"
"19","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,220,5.8,"ABBA","3 - Heartwood sound","L02",2.14,1.37,"ABBA","Y","5-10cm","3"
"20","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,220,35.6,"BEPA","4 - Rotten throughout","774",9,4,"BEPA","Y",">=10cm","4"
"21","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,220,22.6,"ABBA","2 - Sound round","773",14,8,"ABBA","Y",">=10cm","2"
"22","D05","TREE","TREE_045","2017-06-06T00:00:00.000Z",5,NA,220,21.8,"ABBA","4 - Rotten throughout","772",16.8,6.2,"ABBA","Y",">=10cm","4"
"23","D05","TREE","TREE_039","2017-04-20T00:00:00.000Z",5,NA,340,6.4,"ACSA3","3 - Heartwood sound","L01",2.3,2.1,"ACSA3","Y","5-10cm","3"
"24","D05","TREE","TREE_039","2017-04-20T00:00:00.000Z",5,NA,340,25,"2PLANT-S","5 - No structural integrity","654",24,3.8,"2PLANT-S","Y",">=10cm","5"
"25","D05","TREE","TREE_039","2017-04-20T00:00:00.000Z",5,NA,340,22.5,"ABBA","4 - Rotten throughout","653",32.3,5,"ABBA","Y",">=10cm","4"
"26","D05","TREE","TREE_039","2017-04-20T00:00:00.000Z",5,NA,220,25,"PIGL","1 - Fresh fallen","652",34.1,17,"PIGL","Y",">=10cm","1"
"27","D05","TREE","TREE_039","2017-04-20T00:00:00.000Z",5,NA,100,9.8,"ABBA","3 - Heartwood sound","L02",7.4,1.5,"ABBA","Y","5-10cm","3"
"28","D05","TREE","TREE_025","2017-04-25T00:00:00.000Z",NA,NA,220,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"29","D05","TREE","TREE_025","2017-04-25T00:00:00.000Z",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"30","D05","TREE","TREE_025","2017-04-25T00:00:00.000Z",5,NA,340,22,"BEPA","3 - Heartwood sound","501",23.9,1.1,"BEPA","Y",">=10cm","3"
