"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D05","UNDE","UNDE_045","2018-05-29T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","D05","UNDE","UNDE_054","2018-06-25T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",70,"Y",18.8,15.5,NA,"00890",3.4,"ACER","Acer sp.","3 - Heartwood sound",">=10cm","3"
"3","D05","UNDE","UNDE_058","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",310,"Y",2.2,11,NA,"00760",2.8,"ACSA3","Acer saccharum Marshall","4 - Rotten throughout",">=10cm","4"
"4","D05","UNDE","UNDE_058","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",310,"Y",4.1,8.5,NA,"L01",4.9,"POPUL","Populus sp.","3 - Heartwood sound","5-10cm","3"
"5","D05","UNDE","UNDE_058","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",310,"Y",4.7,11.25,NA,"00099",9.4,"POTR5","Populus tremuloides Michx.","4 - Rotten throughout",">=10cm","4"
"6","D05","UNDE","UNDE_058","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",310,"Y",10.4,14.2,8.5,"00759",2.1,"POTR5","Populus tremuloides Michx.","4 - Rotten throughout",">=10cm","4"
"7","D05","UNDE","UNDE_037","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",90,"Y",2.95,9.22,NA,"L01",6.4,"ACRU","Acer rubrum L.","2 - Sound round","5-10cm","2"
"8","D05","UNDE","UNDE_037","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",90,"Y",17.6,14.9,NA,"00764",9.9,"ACSA3","Acer saccharum Marshall","2 - Sound round",">=10cm","2"
"9","D05","UNDE","UNDE_037","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",90,"Y",24,27.8,NA,"00196",11.4,"ACSA3","Acer saccharum Marshall","3 - Heartwood sound",">=10cm","3"
"10","D05","UNDE","UNDE_037","2018-05-17T00:00:00.000Z",2018,"CDW.2018.UNDE","5","NEON.DOC.001711vD",210,"Y",0.45,11.6,9,"00195",7.4,"ACERAC","Aceraceae sp.","4 - Rotten throughout",">=10cm","4"
