"","domainID","siteID","plotID","date","eventID","volumeFactor","samplingImpractical","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","plotType","diameterClass","decayClassNum"
"1","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",280,"Y",7.9,11.8,11.8,"00007",1.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"2","D05","STEI","STEI_002",2021-05-11,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",200,"Y",16.6,15.2,15.2,"00211",3.4,"ACSA3","Acer saccharum Marshall","2 - Sound round","distributed",">=10cm","2"
"3","D05","STEI","STEI_002",2021-05-11,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",80,"Y",7.8,13.2,13.2,"00210",4.7,"ACSA3","Acer saccharum Marshall","5 - No structural integrity","distributed",">=10cm","5"
"4","D05","STEI","STEI_006",2021-05-26,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",4,7.5,7.5,"L02",3.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed","5-10cm","4"
"5","D05","STEI","STEI_005",2021-05-20,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",310,"Y",4,8.4,8.4,"L01",1,"ACSA3","Acer saccharum Marshall","2 - Sound round","distributed","5-10cm","2"
"6","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",280,"Y",76,33.1,33.1,"01497",9.5,"2PLANT-H","Unknown Hardwood","2 - Sound round","distributed",">=10cm","2"
"7","D05","STEI","STEI_002",2021-05-11,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",320,"Y",8.4,16.3,16.3,"00377",7.4,"ACSA3","Acer saccharum Marshall","3 - Heartwood sound","distributed",">=10cm","3"
"8","D05","STEI","STEI_002",2021-05-11,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",200,"Y",3.75,9.8,9.8,"L02",2.3,"ACSA3","Acer saccharum Marshall","2 - Sound round","distributed","5-10cm","2"
"9","D05","STEI","STEI_004",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",0,9.7,9.7,"L01",3.7,"OSVI","Ostrya virginiana (Mill.) K. Koch","2 - Sound round","distributed","5-10cm","2"
"10","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",40,"Y",27.4,24.8,24.8,"01498",9.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"11","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",64.6,33.3,33.3,"01795",5.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed",">=10cm","4"
"12","D05","STEI","STEI_004",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",270,"Y",8.3,12.7,12.7,"00206",1.1,"ACSA3","Acer saccharum Marshall","2 - Sound round","distributed",">=10cm","2"
"13","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",270,"Y",13.4,31.3,31.3,"00374",16.9,"ACER","Acer sp.","4 - Rotten throughout","distributed",">=10cm","4"
"14","D05","STEI","STEI_006",2021-05-26,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",0.2,7.8,7.8,"L01",4.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed","5-10cm","3"
"15","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",19.7,19.4,19.4,"00372",19.6,"FRAM2/FRPE","Fraxinus americana/pennsylvanica","2 - Sound round","distributed",">=10cm","2"
"16","D05","STEI","STEI_008",2021-05-20,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",310,"Y",0.3,4.5,4.5,"L01",3.2,"ACRU","Acer rubrum L.","2 - Sound round","distributed","2-5cm","2"
"17","D05","STEI","STEI_008",2021-05-20,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",70,"Y",41.5,31.6,29.9,"01495",1.7,"POTR5","Populus tremuloides Michx.","3 - Heartwood sound","distributed",">=10cm","3"
"18","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",270,"Y",12.8,13.4,13.4,"01800",13.5,"FRAM2/FRPE","Fraxinus americana/pennsylvanica","2 - Sound round","distributed",">=10cm","2"
"19","D05","STEI","STEI_003",2021-05-12,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",140,"Y",0.1,2.4,2.4,"L01",1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed","2-5cm","3"
"20","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",2.4,9.4,9.4,"L03",4.7,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed","5-10cm","4"
"21","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",5,11.4,11.4,"00369",2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed",">=10cm","4"
"22","D05","STEI","STEI_004",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",3.6,13.1,13.1,"00205",7.8,"POPUL","Populus sp.","2 - Sound round","distributed",">=10cm","2"
"23","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",160,"Y",2.3,24.7,24.7,"00004",9.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"24","D05","STEI","STEI_001",2021-05-06,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",70,"Y",59,33.1,29.6,"00212",3.7,"MALVAC","Malvaceae sp.","3 - Heartwood sound","distributed",">=10cm","3"
"25","D05","STEI","STEI_006",2021-05-26,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",2.3,20.1,20.1,"00203",13.5,"POPUL","Populus sp.","2 - Sound round","distributed",">=10cm","2"
"26","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",6.4,13.7,13.7,"00368",17.6,"FRAM2/FRPE","Fraxinus americana/pennsylvanica","3 - Heartwood sound","distributed",">=10cm","3"
"27","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",3.6,8,8,"L02",5.3,"FRAM2/FRPE","Fraxinus americana/pennsylvanica","3 - Heartwood sound","distributed","5-10cm","3"
"28","D05","STEI","STEI_001",2021-05-06,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",310,"Y",0.6,3.8,3.8,"L02",2.1,"ACRU","Acer rubrum L.","1 - Fresh fallen","distributed","2-5cm","1"
"29","D05","STEI","STEI_001",2021-05-06,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",70,"Y",3.6,7,7,"L01",2.1,"OSVI","Ostrya virginiana (Mill.) K. Koch","1 - Fresh fallen","distributed","5-10cm","1"
