"plotID","pointID","mOrder","country","stateProvince","county","domainName","domainID","siteName","siteID","plotType","subtype","subtypeSpecification","plotSize","plotDimensions","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","elevation","elevationUncertainty","minimumElevation","maximumElevation","slopeGradient","slopeAspect","nlcdClass","soilTypeOrder","coordinateSource","recordedDate","filteredPositions","plotPdop","plotHdop","applicableModules","module","plot"
"YELL_020","B2",1179,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.942756,-110.648124,"WGS84","12N",527760.831,4976651.619,0.1,2116.62,0.1,2052.27,2123.63,2.03,60.11,"evergreenForest",,"GeoXH 6000",20170606,278,1.5,0.8,"brd","B","1179B"
"YELL_023","B2",1603,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.937544,-110.633482,"WGS84","12N",528918.634,4976077.654,0.31,2090.89,0.29,2015.72,2122.74,12.89,26.57,"evergreenForest",,"GeoXH 6000",20170530,301,6.4,2.2,"brd","B","1603B"
"YELL_004","B2",203,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.960981,-110.590853,"WGS84","12N",532268.927,4978697.351,0.1,2004.05,0.1,1991.48,2027.72,10.15,315.55,"shrubScrub",,"GeoXH 6000",20170614,158,1.4,0.7,"brd","B","203B"
"YELL_005","B2",283,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.947864,-110.631427,"WGS84","12N",529075.516,4977224.811,0.1,2104.92,0.1,2049.87,2172.73,15.79,118.63,"shrubScrub",,"GeoXH 6000",20170530,132,2.1,1.1,"brd","B","283B"
"YELL_006","B2",295,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.972081,-110.562533,"WGS84","12N",534495.868,4979941.997,0.19,2052.39,0.23,2023.96,2057.04,1.5,41.79,"shrubScrub",,"GeoXH 6000",20170531,301,3.1,1.2,"brd","B","295B"
"YELL_014","B2",651,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.965022,-110.615973,"WGS84","12N",530285.642,4979136.57,0.1,2224.07,0.11,2170.53,2238,4.14,37.32,"shrubScrub",,"GeoXH 6000",20170530,125,1.9,1.1,"brd","B","651B"
"YELL_015","B2",658,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.918015,-110.383051,"WGS84","12N",548694.286,4974028.129,0.11,1904.61,0.14,1863.25,1981.32,7.43,81.97,"shrubScrub",,"Geo 7X (H-Star)",20170531,153,1.9,1.1,"brd","B","658B"
"YELL_017","B2",722,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.935345,-110.418845,"WGS84","12N",545855.358,4975932.36,0.1,1923.9,0.1,1864.93,1941,6.88,26.62,"shrubScrub",,"Geo 7X (H-Star)",20170530,200,2,1.1,"brd","B","722B"
"YELL_001","B2",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.916924,-110.410579,"WGS84","12N",546522.468,4973890.769,0.1,1904.09,0.1,1875.34,1911.2,1.27,348.83,"shrubScrub",,"Geo 7X (H-Star)",20170530,152,1.9,0.9,"brd","B","18B"
"YELL_009","B2",391,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","birdGrid","ninePoints",250000,"500m x 500m",44.971006,-110.501704,"WGS84","12N",539293.148,4979850.256,0.11,1994.71,0.12,1912.98,2025.79,12.28,91.04,"evergreenForest",,"Geo 7X (H-Star)",20170803,240,1.8,1.1,"brd","B","391B"
