"siteID","plotID","subplotID","tagID","growthForm","stemStatus","stemDiameter","measurementHeight","height","maxCanopyDiameter","ninetyCanopyDiameter","canopyPosition","shrubShape","basalStemDiameter","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","eventID","nestedSubplotID","pointID","stemDistance","stemAzimuth","taxonID"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00792","sms","Live",NA,NA,0.4,0.9,0.6,NA,"half-sphere",1.2,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00771","sms","Live",NA,NA,0.8,1,0.6,NA,"half-sphere",1.7,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00792","sms","Live",NA,NA,0.4,0.9,0.6,NA,"half-sphere",1.6,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00770","sms","Standing dead",NA,NA,0.7,1.1,0.5,NA,"half-sphere",2.6,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00771","sms","Live",NA,NA,0.8,1,0.6,NA,"half-sphere",2.3,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00778","sms","Live",NA,NA,0.5,0.7,0.7,NA,"half-sphere",2.6,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00777","sms","Standing dead",NA,NA,1,0.5,0.3,NA,"cylinder",1.1,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00776","sms","Standing dead",NA,NA,0.8,1.4,1.2,NA,"half-sphere",3,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00105","sbt","Live",33,130,12.9,6.2,5.1,"Partially shaded",NA,NA,NA,NA,"vst_YELL_2019","1","31",6.3,31.5,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00784","sms","Standing dead",NA,NA,0.4,0.7,0.2,NA,"half-sphere",3.4,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
