"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"NIWO","PINACE","5",">=10cm",27.98,27.98,10,10
"NIWO","PINACE","4",">=10cm",22.48,50.46,10,20
"NIWO","PINACE","3",">=10cm",9.17,59.63,10,30
"NIWO","PIEN","2",">=10cm",4.59,64.22,10,40
"NIWO","PIFL2","3",">=10cm",4.59,68.81,10,50
"NIWO","ABLAL","3",">=10cm",3.67,72.48,10,60
"NIWO","ABLAL","2",">=10cm",2.29,74.77,10,70
"NIWO","PICOL","2",">=10cm",2.29,77.06,10,80
"NIWO","PIEN","3",">=10cm",2.29,79.35,10,90
"NIWO","PIFL2","4",">=10cm",2.29,81.64,10,100
"NIWO","PICOL","3",">=10cm",1.83,83.47,10,110
"NIWO","PICEA","3",">=10cm",1.38,84.85,10,120
"NIWO","PINUS","3",">=10cm",1.38,86.23,10,130
"NIWO","ABLAL","4",">=10cm",1.38,87.61,10,140
"NIWO","ABLAL","3","5-10cm",1.38,88.99,5,145
"NIWO","ABLA","2",">=10cm",0.92,89.91,10,155
"NIWO","ABIES","3",">=10cm",0.92,90.83,10,165
"NIWO","PINUS","4",">=10cm",0.92,91.75,10,175
"NIWO","PICOL","5",">=10cm",0.92,92.67,10,185
"NIWO","PIEN","5",">=10cm",0.92,93.59,10,195
"NIWO","PINACE","3","5-10cm",0.92,94.51,5,200
"NIWO","PINACE","4","5-10cm",0.92,95.43,5,205
"NIWO","PIFL2","2",">=10cm",0.46,95.89,10,215
"NIWO","ABIES","4",">=10cm",0.46,96.35,10,225
"NIWO","PICEA","4",">=10cm",0.46,96.81,10,235
"NIWO","ABLA","5",">=10cm",0.46,97.27,10,245
"NIWO","PIFL2","5",">=10cm",0.46,97.73,10,255
"NIWO","PINUS","5",">=10cm",0.46,98.19,10,265
"NIWO","ABLAL","2","5-10cm",0.46,98.65,5,270
"NIWO","ABIES","3","5-10cm",0.46,99.11,5,275
"NIWO","PIFL2","3","5-10cm",0.46,99.57,5,280
"NIWO","PINUS","3","5-10cm",0.46,100.03,5,285
