"siteID","records"
"ABBY",19
"BART",20
"BLAN",10
"BONA",12
"CLBJ",18
"CPER",12
"DEJU",17
"DSNY",23
"GRSM",20
"GUAN",20
"HARV",3
"HEAL",20
"JORN",20
"KONZ",3
"LAJA",3
"LENO",20
"MLBS",20
"MOAB",18
"NIWO",16
"ONAQ",19
"ORNL",19
"OSBS",17
"RMNP",19
"SCBI",14
"SERC",17
"SJER",13
"STEI",20
"TALL",20
"TREE",19
"UKFS",16
"YELL",4
