clipID,subplotID,offsetEasting,offsetNorthing,status,date,Protocol
GRSM_065_159,21,8.2,13.5,Accepted,20150804,HC
GRSM_065_016,21,8.7,1.5,,,
GRSM_065_169,21,13.2,13.5,,,
GRSM_065_117,21,5.2,10.5,,,
GRSM_065_104,21,16.7,7.5,,,
GRSM_065_014,21,7.7,1.5,,,
GRSM_065_062,21,13.7,4.5,,,
GRSM_065_176,21,16.7,13.5,,,
GRSM_065_131,21,12.2,10.5,,,
GRSM_065_141,21,17.2,10.5,,,
GRSM_065_151,21,4.2,13.5,,,
GRSM_065_025,21,13.2,1.5,,,
GRSM_065_033,21,17.2,1.5,,,
GRSM_065_024,21,12.7,1.5,,,
GRSM_065_103,21,16.2,7.5,,,
GRSM_065_190,21,5.7,16.5,,,
GRSM_065_157,21,7.2,13.5,,,
GRSM_065_115,21,4.2,10.5,,,
GRSM_065_112,21,2.7,10.5,,,
GRSM_065_079,21,4.2,7.5,,,
GRSM_065_163,21,10.2,13.5,,,
GRSM_065_051,21,8.2,4.5,,,
GRSM_065_048,21,6.7,4.5,,,
GRSM_065_199,21,10.2,16.5,,,
GRSM_065_054,21,9.7,4.5,,,
GRSM_065_055,21,10.2,4.5,,,
GRSM_065_032,21,16.7,1.5,,,
GRSM_065_156,21,6.7,13.5,,,
GRSM_065_146,21,1.7,13.5,,,
GRSM_065_038,21,1.7,4.5,,,
GRSM_065_029,21,15.2,1.5,,,
GRSM_065_071,21,18.2,4.5,,,
GRSM_065_063,21,14.2,4.5,,,
GRSM_065_204,21,12.7,16.5,,,
GRSM_065_197,21,9.2,16.5,,,
GRSM_065_015,21,8.2,1.5,,,
GRSM_065_134,21,13.7,10.5,,,
GRSM_065_136,21,14.7,10.5,,,
GRSM_065_037,21,1.2,4.5,,,
GRSM_065_108,21,18.7,7.5,,,
GRSM_065_040,21,2.7,4.5,,,
GRSM_065_177,21,17.2,13.5,,,
GRSM_065_175,21,16.2,13.5,,,
GRSM_065_099,21,14.2,7.5,,,
GRSM_065_122,21,7.7,10.5,,,
GRSM_065_073,21,1.2,7.5,,,
GRSM_065_192,21,6.7,16.5,,,
GRSM_065_107,21,18.2,7.5,,,
GRSM_065_061,21,13.2,4.5,,,
GRSM_065_109,21,1.2,10.5,,,
GRSM_065_046,21,5.7,4.5,,,
GRSM_065_200,21,10.7,16.5,,,
GRSM_065_105,21,17.2,7.5,,,
GRSM_065_207,21,14.2,16.5,,,
GRSM_065_193,21,7.2,16.5,,,
GRSM_065_187,21,4.2,16.5,,,
GRSM_065_147,21,2.2,13.5,,,
GRSM_065_116,21,4.7,10.5,,,
GRSM_065_189,21,5.2,16.5,,,
GRSM_065_041,21,3.2,4.5,,,
GRSM_065_149,21,3.2,13.5,,,
GRSM_065_081,21,5.2,7.5,,,
GRSM_065_008,21,4.7,1.5,,,
GRSM_065_087,21,8.2,7.5,,,
GRSM_065_183,21,2.2,16.5,,,
