"","domainID","siteID","plotID","plotType","date","eventID","volumeFactor","samplingImpractical","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","diameterClass","decayClassNum"
"1","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",20,"Y",31.4,41.8,35,"26",3.6,"2PLANT-S","Unknown softwood plant","3 - Heartwood sound",">=10cm","3"
"2","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",280,"Y",8.8,43,39,"109",2.3,"2PLANT-S","Unknown softwood plant","5 - No structural integrity",">=10cm","5"
"3","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",140,"Y",38.5,42.6,36,"24",1.7,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
"4","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",148,96.5,NA,"16",38.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"5","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",0,11.5,NA,"4",1.5,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"6","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",26.2,83,39,"107",12.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","5 - No structural integrity",">=10cm","5"
"7","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",1.6,8,NA,"L01",3.9,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound","5-10cm","3"
"8","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",155.2,78.3,NA,"17",34.1,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"9","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",5.2,22.3,NA,"103",21.7,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"10","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",76.9,54,NA,"14",27.9,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"11","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",140,"Y",3.8,62.2,50,"18",7.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","4 - Rotten throughout",">=10cm","4"
"12","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",3.7,25.5,NA,"101",6.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"13","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",134.2,82.6,NA,"15",43.1,"THPL","Thuja plicata Donn ex D. Don","3 - Heartwood sound",">=10cm","3"
"14","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",9.8,20,NA,"106",11.6,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"15","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",6.9,16.8,NA,"104",20.6,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"16","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",280,"Y",0.1,6.5,NA,"L02",4.5,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound","5-10cm","3"
"17","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",38.9,49.9,NA,"11",36.8,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"18","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",58.3,65,35,"108",17.2,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
"19","D16","WREF","WREF_075","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",7.4,24,NA,"105",30.4,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"20","D16","WREF","WREF_077","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",51.8,64.1,NA,"13",52.1,"THPL","Thuja plicata Donn ex D. Don","3 - Heartwood sound",">=10cm","3"
"21","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",310,"Y",51.2,105,61,"201",7.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","5 - No structural integrity",">=10cm","5"
"22","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",190,"Y",113.5,108,NA,"205",41.2,"PSME","Pseudotsuga menziesii (Mirb.) Franco","3 - Heartwood sound",">=10cm","3"
"23","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",190,"Y",43.5,43.5,29.5,"3",4.6,"2PLANT-S","Unknown softwood plant","5 - No structural integrity",">=10cm","5"
"24","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",190,"Y",83.3,69,NA,"204",22.2,"PSME","Pseudotsuga menziesii (Mirb.) Franco","2 - Sound round",">=10cm","2"
"25","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",310,"Y",60.7,49,45.5,"202",6.1,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"26","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",310,"Y",63.4,54,40,"203",3.8,"PINACE","Pinaceae sp.","3 - Heartwood sound",">=10cm","3"
"27","D16","WREF","WREF_070","tower",2019-08-13,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",190,"Y",18.2,40.7,33,"2",24.8,"2PLANT-S","Unknown softwood plant","5 - No structural integrity",">=10cm","5"
