"domainID","siteID","nlcdClass","date","elevation","decimalLatitude","decimalLongitude","pitProfileID","depthIncrementID","topDepth","bottomDepth","sampleArea","sampleID","rootStatus","sizeCategory","rootDryMass","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.0",0,10,0.01,"BART.1.0.DEAD.<2MM","dead","0-2",0.0992,-3.1,-27.7,0.9,54.3,62.7,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.0",0,10,0.01,"BART.1.0.LIVE.<2MM","live","0-2",12.7234,-1.8,-29,1.1,50.1,46.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.0",0,10,0.01,"BART.1.0.LIVE.>2MM","live","2-10",4.0838,-2.3,-28.5,0.3,44.5,150.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.10",10,20,0.01,"BART.1.10.LIVE.>2MM","live","2-10",4.4225,-0.3,-27.5,0.4,48.6,128,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.10",10,20,0.01,"BART.1.10.LIVE.<2MM","live","0-2",2.187,1.3,-27.8,0.6,43.3,70.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.10",10,20,0.01,"BART.1.10.DEAD.<2MM","dead","0-2",0.3463,-0.2,-28,0.6,49.3,88.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.10",10,20,0.01,"BART.1.10.DEAD.>2MM","dead","2-10",0.6145,-0.8,-28.2,0.5,47.7,96.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.100",100,120,0.011,"BART.1.100.DEAD.<2MM","dead","0-2",0.032,0,-27.7,0.6,50.5,82.3,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.100",100,120,0.011,"BART.1.100.LIVE.<2MM","live","0-2",0.0087,1.2,-28.2,1.1,52.65,50,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.120",120,140,0.011,"BART.1.120.DEAD.<2MM","dead","0-2",0.0031,4,-28.6,0.9,42.4,46.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.120",120,140,0.011,"BART.1.120.LIVE.<2MM","live","0-2",0.0119,1.4,-29.6,1,43.8,42.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.140",140,160,0.01,"BART.1.140.LIVE.<2MM","live","0-2",1e-04,0.7,-27.8,1.1,42.2,40,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.20",20,30,0.01,"BART.1.20.DEAD.<2MM","dead","0-2",0.1321,-0.7,-28,0.5,45.2,90.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.20",20,30,0.01,"BART.1.20.LIVE.<2MM","live","0-2",1.1843,0.9,-27.9,0.5,36.9,68.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.30",30,40,0.009,"BART.1.30.DEAD.<2MM","dead","0-2",0.1393,0.1,-27.3,0.6,46.3,83.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.30",30,40,0.009,"BART.1.30.LIVE.<2MM","live","0-2",0.1672,1.8,-28.5,0.9,41.4,48.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.40",40,50,0.01,"BART.1.40.DEAD.<2MM","dead","0-2",0.2275,1.5,-28.5,0.6,42,74.7,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.40",40,50,0.01,"BART.1.40.LIVE.<2MM","live","0-2",0.1702,2.9,-28.2,0.5,32.5,59.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.50",50,60,0.01,"BART.1.50.LIVE.<2MM","live","0-2",0.0579,1.8,-27.6,0.7,24.8,36.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.50",50,60,0.01,"BART.1.50.DEAD.<2MM","dead","0-2",0.0375,1.2,-28.3,0.6,43.7,74.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.60",60,70,0.0132,"BART.1.60.LIVE.>2MM","live","2-10",0.1313,3.3,-28.9,0.4,49.3,125.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.60",60,70,0.0132,"BART.1.60.LIVE.<2MM","live","0-2",0.1131,-0.3,-28.7,0.8,44.9,59.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.60",60,70,0.0132,"BART.1.60.DEAD.<2MM","dead","0-2",0.0758,-0.3,-28.1,0.5,47,91.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.70",70,80,0.01,"BART.1.70.DEAD.<2MM","dead","0-2",0.2719,3.1,-29.1,0.6,47.4,74.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.70",70,80,0.01,"BART.1.70.DEAD.>2MM","dead","2-10",0.0613,1.9,-27.5,0.7,40,56.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.70",70,80,0.01,"BART.1.70.LIVE.<2MM","live","0-2",0.4853,3,-29.1,0.6,46,79.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.80",80,90,0.011,"BART.1.80.DEAD.<2MM","dead","0-2",0.1184,2.5,-29.7,0.7,42.1,59.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.80",80,90,0.011,"BART.1.80.LIVE.<2MM","live","0-2",0.1659,3.2,-30,0.6,43.4,66.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.90",90,100,0.01,"BART.1.90.LIVE.<2MM","live","0-2",0.005,2.7,-28.3,1,43.8,45.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.1","BART.1.90",90,100,0.01,"BART.1.90.DEAD.<2MM","dead","0-2",0.0115,2.7,-27,0.6,42.8,66.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.0",0,10,0.01,"BART.2.0.LIVE.>2MM","live","2-10",5.1916,-0.2,-27.4,0.4,47,125.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.0",0,10,0.01,"BART.2.0.DEAD.>2MM","dead","2-10",0.6229,-0.4,-25.9,0.4,44,122.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.0",0,10,0.01,"BART.2.0.LIVE.<2MM","live","0-2",3.4264,0.2,-28.7,0.8,40,47.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.0",0,10,0.01,"BART.2.0.DEAD.<2MM","dead","0-2",0.5377,-0.9,-28.4,0.7,49,68.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.10",10,20,0.01,"BART.2.10.LIVE.<2MM","live","0-2",2.8316,0.7,-28.2,0.5,49.1,91,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.10",10,20,0.01,"BART.2.10.DEAD.>2MM","dead","2-10",0.2924,0.7,-27.5,0.5,49.2,100,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.10",10,20,0.01,"BART.2.10.LIVE.>2MM","live","2-10",3.6291,1.4,-27.6,0.4,48.3,111.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.10",10,20,0.01,"BART.2.10.DEAD.<2MM","dead","0-2",0.4948,-0.6,-27.1,0.7,42.4,59.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.100",100,120,0.01,"BART.2.100.LIVE.<2MM","live","0-2",0.0085,1.2,-27.9,1,45.5,46.5,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance"
