subsampleID,ssVolume,type,dryMass
1,20,DP,0.0785
2,20,DP,0.0734
3,20,DP,0.0589
4,20,DP,0.0631
5,20,DP,0.0631
6,20,DP,0.0893
7,20,DP,0.0782
8,20,DP,0.0751
9,20,DP,0.0738
10,20,DP,0.0657
11,20,V,0.0601
12,20,V,0.0652
13,20,V,0.0751
14,20,V,0.0568
15,20,V,0.103
16,20,V,0.0835
17,20,V,0.0869
18,20,V,0.111
19,20,V,0.0767
20,20,V,0.0984
