"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter"
"D16","WREF","WREF_070","21",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.04139A","mbt",14.5
"D16","WREF","WREF_070","21",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.04141A","mbt",8
"D16","WREF","WREF_070","21",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.04119","smt",7.6
"D16","WREF","WREF_070","21",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.04118","smt",5.9
"D16","WREF","WREF_070","21",NA,NA,NA,"ABAM","NEON.PLA.D16.WREF.04117","smt",3.4
"D16","WREF","WREF_070","21",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.09747","smt",2.4
"D16","WREF","WREF_070","39","57",95.2,7,"PSMEM","NEON.PLA.D16.WREF.04267","sbt",11.4
"D16","WREF","WREF_070","39","59",202.5,6.7,"PSMEM","NEON.PLA.D16.WREF.08879","sbt",10.3
"D16","WREF","WREF_070","39","59",187.8,2.6,"PSMEM","NEON.PLA.D16.WREF.07369","sbt",10.1
"D16","WREF","WREF_070","39",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.09989","smt",6.8
"D16","WREF","WREF_070","39",NA,NA,NA,"PSMEM","NEON.PLA.D16.WREF.05584","smt",3.7
"D16","WREF","WREF_071","21","39",157.3,12.9,"TSHE","NEON.PLA.D16.WREF.02055","sbt",16
"D16","WREF","WREF_071","21","23",325.6,12.7,"TSHE","NEON.PLA.D16.WREF.02361","sbt",10.5
"D16","WREF","WREF_071","21",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.02097A","mbt",7.9
"D16","WREF","WREF_071","23",NA,NA,NA,"PSMEM","NEON.PLA.D16.WREF.02042A","mbt",27
"D16","WREF","WREF_071","23",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.02038A","mbt",24.8
"D16","WREF","WREF_071","23",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.07452","smt",5.5
"D16","WREF","WREF_072","39",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.02176A","mbt",7.5
"D16","WREF","WREF_072","41",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.04651A","mbt",6.7
"D16","WREF","WREF_072","41",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.04651B","mbt",6.3
"D16","WREF","WREF_072","41",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.02111A","mbt",5.5
"D16","WREF","WREF_072","41",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.02111B","mbt",4.5
"D16","WREF","WREF_073","23","25",289.5,3.4,"TSHE","NEON.PLA.D16.WREF.05775","sbt",17.5
"D16","WREF","WREF_073","39","41",338.2,8.8,"PSMEM","NEON.PLA.D16.WREF.04424A","mbt",26.3
"D16","WREF","WREF_073","39","39",19.6,7.4,"ACCI","NEON.PLA.D16.WREF.04485","sbt",10
"D16","WREF","WREF_073","39",NA,NA,NA,"THPL","NEON.PLA.D16.WREF.07458","smt",5.4
"D16","WREF","WREF_074","39","39",26.9,10.3,"THPL","NEON.PLA.D16.WREF.08000","sbt",10.2
"D16","WREF","WREF_075","21",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.09755","smt",3.7
"D16","WREF","WREF_075","21",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.08871","smt",1.4
"D16","WREF","WREF_075","23",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.09974","smt",6
"D16","WREF","WREF_076","23","43",234.2,4.7,"ACCI","NEON.PLA.D16.WREF.04687A","mbt",8.1
"D16","WREF","WREF_076","23","43",234.2,4.7,"ACCI","NEON.PLA.D16.WREF.04687B","mbt",5.5
"D16","WREF","WREF_078","23",NA,NA,NA,"TSHE","NEON.PLA.D16.WREF.02226A","mbt",9.1
"D16","WREF","WREF_078","23",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.07089","smt",5
"D16","WREF","WREF_078","23",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.07089","smt",4
"D16","WREF","WREF_078","23",NA,NA,NA,"ACCI","NEON.PLA.D16.WREF.07089","smt",3.1
"D16","WREF","WREF_078","41","59",155.9,12.1,"TSHE","NEON.PLA.D16.WREF.08590","sbt",10.3
"D16","WREF","WREF_079","41","43",346.1,10.9,"TSHE","NEON.PLA.D16.WREF.02498","sbt",10.3
