"eventid","individualid","stemdiameter","growthform","plantstatus","siteid","plotid","subplotid","taxonid"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00071",1.3,"liana","Live","BLAN","BLAN_052","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00072",1.5,"liana","Live","BLAN","BLAN_052","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00073",1.2,"liana","Live","BLAN","BLAN_052","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00074",1.7,"liana","Live","BLAN","BLAN_052","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00075",1.5,"liana","Live","BLAN","BLAN_052","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00080",1.3,"liana","Live","BLAN","BLAN_052","32","LOJA"
"vst_BLAN_2016","NEON.PLA.D02.BLAN.00081",NA,"liana","No longer qualifies","BLAN","BLAN_052","40","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00082",13.8,"multi-bole tree","Live","BLAN","BLAN_052","40","TEDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00082A",8,"multi-bole tree","Live","BLAN","BLAN_052","40","TEDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00083",1.2,"liana","Standing dead","BLAN","BLAN_050","40","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00084",NA,NA,"No longer qualifies","BLAN","BLAN_050","40","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00085",1.5,"liana","Live","BLAN","BLAN_050","40","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00086",1.3,"liana","Live","BLAN","BLAN_050","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00087",1.4,"liana","Live","BLAN","BLAN_050","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00088",NA,NA,"Lost, fate unknown","BLAN","BLAN_050","31","LOJA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00089",1.4,"liana","Live","BLAN","BLAN_050","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00090",11.7,"multi-bole tree","Live","BLAN","BLAN_050","40","TEDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00090A",13,"multi-bole tree","Live","BLAN","BLAN_050","40","TEDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00090B",11.8,"multi-bole tree","Live","BLAN","BLAN_050","40","TEDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00091",1.9,"liana","Live","BLAN","BLAN_050","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00092",1.3,"liana","Live","BLAN","BLAN_050","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00093",1.3,"liana","Standing dead","BLAN","BLAN_050","41","LOJA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00094",NA,NA,"Lost, fate unknown","BLAN","BLAN_050","31","LOMA6"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00095",NA,"small shrub","Live","BLAN","BLAN_050","40","LOMA6"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00096",2,"liana","Live","BLAN","BLAN_053","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00097",1.5,"liana","Live","BLAN","BLAN_053","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00102",1.5,"liana","Live","BLAN","BLAN_053","41","CEOR7"
"vst_BLAN_2015","NEON.PLA.D02.BLAN.00106",1.5,"liana","Live",NA,NA,NA,NA
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00119",1.8,"liana","Live","BLAN","BLAN_053","41","CEOR7"
"vst_BLAN_2015","NEON.PLA.D02.BLAN.00120",1,"liana","Live",NA,NA,NA,NA
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00121",1.9,"liana","Live","BLAN","BLAN_053","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00122",1.7,"liana","Live","BLAN","BLAN_053","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00123",1.6,"liana","Live","BLAN","BLAN_053","31","CEOR7"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00124",NA,NA,"No longer qualifies","BLAN","BLAN_035","41","LOJA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00125",2,"liana","Live","BLAN","BLAN_035","41","LOJA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00137",1.1,"liana","Live","BLAN","BLAN_035","40","VITIS"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00138",1.4,"liana","Live","BLAN","BLAN_057","31","LOJA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00139",1.4,"liana","Live","BLAN","BLAN_057","31","LOJA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00140",NA,NA,"Lost, fate unknown","BLAN","BLAN_057","31","LOJA"
"vst_BLAN_2015","NEON.PLA.D02.BLAN.00141",1.2,"sapling","Removed",NA,NA,NA,NA
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00142",1.7,"liana","Live","BLAN","BLAN_057","31","LOJA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00148",1.8,"liana","Live","BLAN","BLAN_036","41","CEOR7"
"vst_BLAN_2017","NEON.PLA.D02.BLAN.00149",NA,"liana","Lost, presumed dead","BLAN","BLAN_036","31","CEOR7"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00150",3.6,"small tree","Live","BLAN","BLAN_047","41","JUNI"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00151",1.3,"liana","Live","BLAN","BLAN_047","32","LOJA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00152",1.7,"liana","Live","BLAN","BLAN_048","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00153",1.9,"liana","Live","BLAN","BLAN_048","31","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00154",1.4,"liana","Live","BLAN","BLAN_048","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00155",1.4,"liana","Live","BLAN","BLAN_048","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00156",1.2,"liana","Live","BLAN","BLAN_048","32","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00157",1.5,"liana","Live","BLAN","BLAN_048","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00158",1.4,"liana","Live","BLAN","BLAN_063","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00159",1.4,"liana","Live","BLAN","BLAN_063","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00160",2.2,"liana","Live","BLAN","BLAN_063","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00161",1.8,"liana","Live","BLAN","BLAN_063","32","CEOR7"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00163",1.3,"single shrub","Live,  other damage","BLAN","BLAN_036","32","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00164",1.1,"liana","Live","BLAN","BLAN_057","41","LOJA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00165",1.5,"liana","Live","BLAN","BLAN_057","41","CEOR7"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.00166",1.7,"single shrub","Live","BLAN","BLAN_057","41","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00723",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00950",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00951",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00952",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00953",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00954",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00955",NA,"small shrub","Live","BLAN","BLAN_047","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00956",NA,"small shrub","Live","BLAN","BLAN_047","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00957",NA,"small shrub","Live","BLAN","BLAN_047","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00958",1.2,"liana","Live","BLAN","BLAN_047","32","TORA2"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00959",1,"liana","Live","BLAN","BLAN_047","32","LOJA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00960",1.3,"liana","Live","BLAN","BLAN_047","32","LOJA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00961",NA,"small shrub","Live","BLAN","BLAN_036","41","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00962",NA,"small shrub","Live","BLAN","BLAN_036","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00963",NA,"small shrub","Live","BLAN","BLAN_036","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.00964",NA,"small shrub","Live","BLAN","BLAN_036","40","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01821",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01822",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01836",NA,"small shrub","Live, physically damaged","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01837",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01838",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01842",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01843",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01844",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01845",NA,"small shrub","Live","BLAN","BLAN_055","41","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01846",1.7,"single shrub","Live","BLAN","BLAN_055","40","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01848",NA,"small shrub","Live","BLAN","BLAN_055","40","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01849",NA,"small shrub","Standing dead","BLAN","BLAN_063","31","LIBE3"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01850",NA,"small shrub","Live","BLAN","BLAN_063","31","LIBE3"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01851",NA,"small shrub","Live","BLAN","BLAN_063","32","LIBE3"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01852",1.4,"single shrub","Live","BLAN","BLAN_063","40","LIBE3"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01853",NA,"small shrub","Standing dead","BLAN","BLAN_063","40","LIBE3"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01905",NA,"small shrub","Live","BLAN","BLAN_055","31","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01906",NA,"small shrub","Live","BLAN","BLAN_055","31","RHDA"
"vst_BLAN_2018","NEON.PLA.D02.BLAN.01907",NA,"small shrub","Live","BLAN","BLAN_055","32","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03266",1,"liana","Live","BLAN","BLAN_032","32","CEOR7"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03267",1,"liana","Live","BLAN","BLAN_032","32","CEOR7"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03268",NA,"small shrub","Live","BLAN","BLAN_032","32","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03269",NA,"small shrub","Live","BLAN","BLAN_032","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03270",NA,"small shrub","Live","BLAN","BLAN_032","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03272",NA,"small shrub","Live","BLAN","BLAN_032","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03273",NA,"small shrub","Live","BLAN","BLAN_032","40","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03274",NA,"small shrub","Live","BLAN","BLAN_032","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03275",NA,"sapling","Standing dead","BLAN","BLAN_032","31","ACNEN"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03276",NA,"small shrub","Live","BLAN","BLAN_032","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03277",NA,"small shrub","Live","BLAN","BLAN_032","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03278",NA,"small shrub","Live","BLAN","BLAN_032","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03279",NA,"small shrub","Live","BLAN","BLAN_032","31","RHDA"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03280",1,"liana","Live","BLAN","BLAN_032","40","CEOR7"
"vst_BLAN_2019","NEON.PLA.D02.BLAN.03281",1.2,"liana","Live","BLAN","BLAN_032","32","LOJA"
