x,BONA,DEJU,HEAL,NIWO,RMNP,SJER,SOAP,TEAK,WREF,YELL
1,BONA_071,DEJU_045,HEAL_047,NIWO_040,RMNP_041,SJER_045,SOAP_031,TEAK_043,WREF_073,YELL_043
2,BONA_072,DEJU_046,HEAL_051,NIWO_041,RMNP_042,SJER_046,SOAP_043,TEAK_044,WREF_074,YELL_044
3,BONA_075,DEJU_047,HEAL_066,NIWO_045,RMNP_043,SJER_047,SOAP_044,TEAK_045,WREF_075,YELL_045
4,BONA_076,DEJU_048,HEAL_073,NIWO_046,RMNP_044,SJER_049,SOAP_046,TEAK_046,WREF_076,YELL_046
5,BONA_077,DEJU_049,NA,NIWO_051,RMNP_045,SJER_050,SOAP_047,TEAK_047,WREF_077,YELL_047
