eventid,siteid,plotid,subplotid,individualid,taxonid,stemdiameter,growthform,plantstatus
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00001,NA,9.5,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00002,NA,7.9,small tree,"Live, insect damaged"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00004,NA,6.5,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00007,NA,7.5,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00008,NA,8.9,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00011,NA,9.1,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00014,NA,6.9,small tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00018,NA,8,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00020,NA,9.7,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00023,NA,7.8,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00024,NA,5,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00036,NA,9.7,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00039,NA,6.1,single shrub,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00040,NA,5.3,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00041,NA,17.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00042,NA,19.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00043,NA,15.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00044,NA,18.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00045,NA,11.4,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00045A,NA,14.1,NA,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00046,NA,17.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00047,NA,23.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00048,NA,10.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00049,NA,10.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00050,NA,17.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00051,NA,13.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00052,NA,11.3,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00053,NA,11.2,multi-bole tree,Live
