"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter"
"D10","RMNP","RMNP_041",21,"21",85.2,10.1,"PICOL2","NEON.PLA.D10.RMNP.02404","sbt",47.7
"D10","RMNP","RMNP_041",21,"41",199.8,9.5,"PICOL2","NEON.PLA.D10.RMNP.02406","sbt",44.5
"D10","RMNP","RMNP_041",21,"41",206,14.1,"PICOL2","NEON.PLA.D10.RMNP.02405","sbt",43.2
"D10","RMNP","RMNP_041",21,"41",236.1,10.8,"PICOL2","NEON.PLA.D10.RMNP.02409","sbt",42.6
"D10","RMNP","RMNP_041",21,"41",243.1,10.9,"PICOL2","NEON.PLA.D10.RMNP.02410","sbt",35.2
"D10","RMNP","RMNP_041",21,"31",302.5,8.2,"PICOL2","NEON.PLA.D10.RMNP.02426","sbt",34.8
"D10","RMNP","RMNP_041",21,"31",324.2,8.3,"PICOL2","NEON.PLA.D10.RMNP.02423","sbt",34.5
"D10","RMNP","RMNP_041",21,"31",60.7,7.7,"PICOL2","NEON.PLA.D10.RMNP.02413","sbt",34.3
"D10","RMNP","RMNP_041",21,"31",27.8,7.9,"PICOL2","NEON.PLA.D10.RMNP.02417","sbt",32.7
"D10","RMNP","RMNP_041",21,"41",255.2,13.9,"PICOL2","NEON.PLA.D10.RMNP.02422","sbt",32.7
"D10","RMNP","RMNP_041",21,"31",26.6,8.6,"PICOL2","NEON.PLA.D10.RMNP.02418","sbt",30.5
"D10","RMNP","RMNP_041",21,"31",10.8,9.6,"PICOL2","NEON.PLA.D10.RMNP.02419","sbt",30.3
"D10","RMNP","RMNP_041",21,"31",43.9,9.9,"PICOL2","NEON.PLA.D10.RMNP.02414","sbt",29.5
"D10","RMNP","RMNP_041",21,"41",207.9,10,"PICOL2","NEON.PLA.D10.RMNP.02407","sbt",28.9
"D10","RMNP","RMNP_041",21,"21",6.3,3.4,"PICOL2","NEON.PLA.D10.RMNP.02401","sbt",28.5
"D10","RMNP","RMNP_041",21,"41",210.4,8,"PICOL2","NEON.PLA.D10.RMNP.02408","sbt",28.4
"D10","RMNP","RMNP_041",21,"39",159.7,18.7,"PICOL2","NEON.PLA.D10.RMNP.02402","sbt",27.6
"D10","RMNP","RMNP_041",21,"41",257.6,18.7,"PICOL2","NEON.PLA.D10.RMNP.02427","sbt",26.4
"D10","RMNP","RMNP_041",21,"31",32.7,10.3,"PICOL2","NEON.PLA.D10.RMNP.02415","sbt",20.8
"D10","RMNP","RMNP_041",21,"31",309.8,12.4,"PICOL2","NEON.PLA.D10.RMNP.02425","sbt",19.9
"D10","RMNP","RMNP_041",21,"25",271.4,29.8,"PICOL2","NEON.PLA.D10.RMNP.02411","sbt",16.2
"D10","RMNP","RMNP_041",21,"31",33.8,8,"PICOL2","NEON.PLA.D10.RMNP.02416","sbt",13.2
"D10","RMNP","RMNP_041",21,"31",314,6.3,"PICOL2","NEON.PLA.D10.RMNP.02429","sbt",11.8
"D10","RMNP","RMNP_041",21,"23",295.5,16.1,"PICOL2","NEON.PLA.D10.RMNP.02403","sbt",11.4
"D10","RMNP","RMNP_041",21,"31",75,8.5,"PICOL2","NEON.PLA.D10.RMNP.02412","sbt",11.2
"D10","RMNP","RMNP_041",21,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02474","smt",8.2
"D10","RMNP","RMNP_041",21,NA,NA,NA,"PIEN","NEON.PLA.D10.RMNP.02471","smt",6.9
"D10","RMNP","RMNP_041",21,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02450","smt",2.4
"D10","RMNP","RMNP_041",21,NA,NA,NA,"ABLAL","NEON.PLA.D10.RMNP.02456","smt",2.3
