"individualid","pointid","stemdistance","stemazimuth","taxonid"
"NEON.PLA.D17.SJER.04035","59",16.2,137.5,"QUWI2"
"NEON.PLA.D17.SJER.00068","43",5.2,233.7,"QUDO"
"NEON.PLA.D17.SJER.00107",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.00279",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00235","43",9.3,206.8,"QUDO"
"NEON.PLA.D17.SJER.00236","43",13.3,192,"QUDO"
"NEON.PLA.D17.SJER.00040","57",5.3,164.4,"QUDO"
"NEON.PLA.D17.SJER.00041","57",5.8,140.4,"QUDO"
"NEON.PLA.D17.SJER.00042","57",7,130.8,"QUDO"
"NEON.PLA.D17.SJER.00043","57",8.4,121.5,"QUDO"
"NEON.PLA.D17.SJER.00044","59",7,236.4,"QUDO"
"NEON.PLA.D17.SJER.00045","59",6.4,240.6,"QUDO"
"NEON.PLA.D17.SJER.00046","59",8.8,222,"QUDO"
"NEON.PLA.D17.SJER.00047","41",5.2,341.1,"QUDO"
"NEON.PLA.D17.SJER.00048","41",6.4,345.2,"QUDO"
"NEON.PLA.D17.SJER.00049","41",9.4,334.2,"QUDO"
"NEON.PLA.D17.SJER.00058",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00059",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.00056",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.00235A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00236A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00051","41",3.5,293,"QUDO"
"NEON.PLA.D17.SJER.00051A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00050","41",7.9,322.3,"QUDO"
"NEON.PLA.D17.SJER.03997",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.03998",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.03999",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04000",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04001",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04005",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00219A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00219B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00219C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00219D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00219E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00219F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00219H",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00229A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207G",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207H",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207I",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00207J",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00248B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00249A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00249B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00249C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00266A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00266B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00267A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00267B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00267C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00267D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00267E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00267F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00076","43",16.1,304.8,"QUDO"
"NEON.PLA.D17.SJER.00277A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277G",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00277H",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04031",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04032",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04033",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04034",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04035A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04035B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04035C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04035D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04036",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04037",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00278A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278G",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278H",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00278I",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00004A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00005A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.04009",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04007",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04008",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04011",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04012",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04013",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04014",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04015",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04016",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04006",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.00064A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00065A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00066A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00068A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00069","43",10.9,239.9,"QUDO"
"NEON.PLA.D17.SJER.00215A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00219G",NA,NA,NA,"2PLANT"
"NEON.PLA.D17.SJER.00114",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00115",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00205","25",9.3,272.2,"QUDO"
"NEON.PLA.D17.SJER.00216","25",5.7,357.8,"QUWI2"
"NEON.PLA.D17.SJER.00255","57",13.2,166.7,"PISA2"
"NEON.PLA.D17.SJER.04115","23",14.6,327.9,"PISA2"
"NEON.PLA.D17.SJER.00102",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.00112",NA,NA,NA,"2PLANT"
"NEON.PLA.D17.SJER.00110",NA,NA,NA,"2PLANT"
"NEON.PLA.D17.SJER.00111",NA,NA,NA,"2PLANT"
"NEON.PLA.D17.SJER.00113",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00116",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.00135",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.00156",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.00251",NA,NA,NA,"RHAMNA"
"NEON.PLA.D17.SJER.00253",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.00252",NA,NA,NA,"RHAMNA"
"NEON.PLA.D17.SJER.00254",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.00258",NA,NA,NA,"RHAMNA"
"NEON.PLA.D17.SJER.00039A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00037B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00037A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00039B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00232B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00232A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04002",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04003",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04004",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.00275B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00231A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00275A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00275C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00275D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00275E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04026",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04029",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04158",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04159",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04160",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04161",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04162",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04147",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04148",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04027",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04028",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04030",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04106",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04107",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04108",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04109",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04110",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04111",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04112",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04113",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04116","25",11.4,277.5,"QUWI2"
"NEON.PLA.D17.SJER.04114",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04117",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04118",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04119",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04124",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04129",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04140",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04141",NA,NA,NA,"FRCAC7"
"NEON.PLA.D17.SJER.04142",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04143",NA,NA,NA,"CECU"
