plotID,siteid
BLAN_032,BLAN
BLAN_035,BLAN
BLAN_036,BLAN
BLAN_044,BLAN
BLAN_047,BLAN
KONZ_046,KONZ
KONZ_059,KONZ
KONZ_061,KONZ
KONZ_063,KONZ
KONZ_064,KONZ
NIWO_040,NIWO
NIWO_041,NIWO
NIWO_046,NIWO
NIWO_057,NIWO
NIWO_058,NIWO
BONA_070,BONA
BONA_072,BONA
BONA_073,BONA
BONA_078,BONA
BONA_084,BONA
DEJU_046,DEJU
DEJU_047,DEJU
DEJU_048,DEJU
DEJU_049,DEJU
DEJU_050,DEJU
