"X_record_id","load_status","date","yearboutbegan","individualid","vstid","taxonid","domainid","siteid","plotid","subplotid","nestedsubplotid","pointid","stemazimuth","stemdistance","recordtype","cfconlytag"
"002ca737-2509-4d0c-b519-a610cce7d251","LOADED","2019-09-30",2019,"NEON.PLA.D12.YELL.01862","VST.YELL.01862.2019","POTR5","D12","YELL","YELL_043",41,4,NA,NA,NA,"tag only","N"
"003cc657-426f-45a4-9e32-6774c63f915b","LOADED","2016-08-17",2016,"NEON.PLA.D19.HEAL.01605","VST.HEAL.01605.2016","BEGL/BENA","D19","HEAL","HEAL_022",31,1,NA,NA,NA,"tag only","N"
"01ba3f76-931a-4cbd-8341-b5e1f650df93","LOADED","2016-08-08",2016,"NEON.PLA.D19.HEAL.02520","VST.HEAL.02520.2016","SAGL","D19","HEAL","HEAL_014",32,4,NA,NA,NA,"tag only","N"
"03d422a7-586c-4660-8d19-5e071946103b","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02187","VST.OSBS.02187.2015","QULA2","D03","OSBS","OSBS_029",39,NA,39,89,14.9,"map and tag","N"
"0549914a-f5d4-4d06-9d24-60688c221b0f","LOADED","2015-08-25",2015,"NEON.PLA.D05.STEI.02107","VST.STEI.02107.2015","2PLANT","D05","STEI","STEI_001",32,4,NA,NA,NA,"tag only","N"
"06d084a1-693f-4b35-abc7-347c51333472","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.02208","VST.UNDE.02208.2015","POTR5","D05","UNDE","UNDE_043",23,1,NA,NA,NA,"tag only","N"
"06d67ed6-8a79-4aa5-bbd7-a6158211d32c","LOADED",NA,2015,"NEON.PLA.D03.JERC.04190","VST.JERC.04190.2015","QUMA6","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"08cf4cc1-1ae3-4cc7-acde-3d3ed3ddb50d","LOADED","2016-08-24",2016,"NEON.PLA.D19.DEJU.02031","VST.DEJU.02031.2016","PIMA","D19","DEJU","DEJU_052",23,2,43,222.1,3.1,"map and tag","N"
"092905f1-0de5-4aa1-a385-725c4c07ce94","LOADED","2016-08-22",2016,"NEON.PLA.D19.DEJU.02495","VST.DEJU.02495.2016","PIMA","D19","DEJU","DEJU_053",21,NA,41,1,5.8,"map and tag","N"
"0af33d99-6456-420d-beb0-3321816e6931","LOADED","2015-09-14",2015,"NEON.PLA.D17.TEAK.01376","VST.TEAK.01376.2015","ABMA","D17","TEAK","TEAK_062",21,NA,21,3,13.4,"map and tag",NA
"0b313874-2ef5-43eb-9035-d1ffc54f0d20","LOADED","2019-09-11",2019,"NEON.PLA.D12.YELL.00933","VST.YELL.00933.2019","PSME","D12","YELL","YELL_055",32,NA,39,77.7,11.4,"map and tag","N"
"0d5203b1-d76c-48da-944d-15c2e56ddd0a","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02280","VST.OSBS.02280.2015","QULA2","D03","OSBS","OSBS_027",41,NA,NA,NA,NA,"tag only","N"
"0df5e62f-5aac-40ba-80ed-0d48d9dc6516","LOADED","2015-09-22",2015,"NEON.PLA.D17.TEAK.01765","VST.TEAK.01765.2015","ABMA","D17","TEAK","TEAK_057",23,NA,25,353.4,7.4,"map and tag",NA
"12827cae-579c-4bc6-ac25-df367016a166","LOADED","2016-09-13",2016,"NEON.PLA.D05.UNDE.05499","VST.UNDE.05499.2016","COCO6","D05","UNDE","UNDE_037",41,NA,NA,NA,NA,"tag only","N"
"130e707e-7e55-4a57-a0e8-35b07e412faa","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02288","VST.OSBS.02288.2015","QULA2","D03","OSBS","OSBS_027",41,NA,NA,NA,NA,"tag only","N"
"13d98707-7aab-41d9-8fc2-7dd460fc062d","LOADED","2015-08-13",2015,"NEON.PLA.D17.TEAK.00406","VST.TEAK.00406.2015","ABCOL","D17","TEAK","TEAK_045",23,NA,25,346.2,16.5,"map and tag",NA
"14c92b1f-064d-4075-9b5b-eb18ac084783","LOADED","2015-08-25",2015,"NEON.PLA.D05.STEI.01791","VST.STEI.01791.2015","OSVI","D05","STEI","STEI_001",41,4,NA,NA,NA,"tag only","N"
"1600e7ba-7561-482a-98cb-44dcf39cb527","LOADED","2019-07-30",2019,"NEON.PLA.D05.UNDE.09092","VST.UNDE.09092.2019","ABBA","D05","UNDE","UNDE_043",39,1,NA,NA,NA,"tag only","N"
"164349b6-3b73-4583-b74e-3767012ecbdf","LOADED","2015-09-08",2015,"NEON.PLA.D17.TEAK.01199","VST.TEAK.01199.2015","PICO","D17","TEAK","TEAK_060",23,NA,23,57.1,3.4,"map and tag",NA
"16a75c49-1c89-4c9a-b0d7-1ae0dfa9ac39","LOADED","2019-10-03",2019,"NEON.PLA.D05.STEI.00131","VST.STEI.00131.2019","FRAM2/FRPE","D05","STEI","STEI_053",23,4,NA,NA,NA,"tag only","N"
"172803b5-dd8b-4e86-a61d-526037f37012","LOADED","2019-09-16",2019,"NEON.PLA.D12.YELL.01182","VST.YELL.01182.2019","PSME","D12","YELL","YELL_048",23,NA,41,100.5,7.5,"map and tag","N"
"17396462-f634-4451-8fe6-5f60ed3b8017","LOADED","2015-09-23",2015,"NEON.PLA.D17.TEAK.01884","VST.TEAK.01884.2015","ABCOL","D17","TEAK","TEAK_047",21,NA,21,19.9,12.9,"map and tag",NA
"1a82efe0-64b8-434b-bf23-a5e3aa744de7","LOADED","2015-09-10",2015,"NEON.PLA.D17.TEAK.01211","VST.TEAK.01211.2015","PIJE","D17","TEAK","TEAK_055",23,NA,23,46.5,2,"map and tag",NA
"1b2c7fa5-e219-4cc8-b479-8e240f0b7e38","LOADED","2019-09-18",2019,"NEON.PLA.D12.YELL.01538","VST.YELL.01538.2019","PSME","D12","YELL","YELL_045",21,NA,41,267.3,12,"map and tag","N"
"1c1a7265-a9db-4713-bb6a-9f9c3d4ef836","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.02324","VST.UNDE.02324.2015","ACRU","D05","UNDE","UNDE_043",23,NA,25,335.5,0.9,"map and tag","N"
"1f9a5c03-d3df-4999-918e-4f1270871a85","LOADED","2019-09-16",2019,"NEON.PLA.D12.YELL.01036","VST.YELL.01036.2019","PSME","D12","YELL","YELL_048",23,NA,39,95.7,2.9,"map and tag","N"
"23e9f24b-31e2-41d7-a130-c4771854553e","LOADED","2019-09-19",2019,"NEON.PLA.D12.YELL.02752","VST.YELL.02752.2019","PSME","D12","YELL","YELL_046",41,4,NA,NA,NA,"tag only","N"
"2540e4c1-75c4-4672-9679-0dd09db23a96","LOADED",NA,2015,"NEON.PLA.D03.JERC.04234","VST.JERC.04234.2015","QUIN","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"28e21cb1-51fe-4b1f-8e75-96d01cbdb6ba","LOADED","2015-06-17",2015,"NEON.PLA.D19.DEJU.00485","VST.DEJU.00485.2015","ALVI5","D19","DEJU","DEJU_052",21,4,NA,NA,NA,"tag only",NA
"28e22cf7-92c2-4d14-b9c7-2cc19d59fc05","LOADED","2015-09-25",2015,"NEON.PLA.D08.DELA.03584","VST.DELA.03584.2015","CATO6","D08","DELA","DELA_056",39,NA,NA,NA,NA,"tag only",NA
"29a25a4d-74f9-44f9-9645-b4917e692c0b","LOADED","2015-09-28",2015,"NEON.PLA.D17.TEAK.01992","VST.TEAK.01992.2015","ABCOL","D17","TEAK","TEAK_046",39,NA,59,213.8,9,"map and tag",NA
"2a3b38f8-5a9b-4ba7-b7be-d0bfd54918ff","LOADED","2019-09-19",2019,"NEON.PLA.D12.YELL.02757","VST.YELL.02757.2019","PSME","D12","YELL","YELL_046",39,NA,39,43.3,17.2,"map and tag","N"
"2e42a472-7adc-485f-9758-452bf58cb600","LOADED","2015-08-18",2015,"NEON.PLA.D05.STEI.01697","VST.STEI.01697.2015","POTR5","D05","STEI","STEI_053",39,1,NA,NA,NA,"tag only",NA
"2ffc861b-c009-4548-81c7-e845ad76f3bb","LOADED","2015-09-28",2015,"NEON.PLA.D17.TEAK.02004","VST.TEAK.02004.2015","ABCOL","D17","TEAK","TEAK_046",39,NA,39,59.3,16.9,"map and tag",NA
"3019424a-cda4-49ab-8cf9-4b5747dba70a","LOADED","2015-08-18",2015,"NEON.PLA.D05.STEI.01789","VST.STEI.01789.2015","POTR5","D05","STEI","STEI_047",23,4,NA,NA,NA,"tag only",NA
"30443421-b007-4ae3-a8f1-c8dfbb9f75f3","LOADED",NA,2015,"NEON.PLA.D03.OSBS.01004","VST.OSBS.01004.2015","QULA2","D03","OSBS","OSBS_008",31,NA,41,268.1,9.2,"map and tag","N"
"30df9595-bfa3-4521-98f3-8bc874d5bb11","LOADED","2015-08-27",2015,"NEON.PLA.D17.TEAK.00684","VST.TEAK.00684.2015","PICO","D17","TEAK","TEAK_061",21,NA,39,112.4,9.7,"map and tag",NA
"316925cb-f26d-457a-a1dd-58f2e3702d3c","LOADED","2015-08-24",2015,"NEON.PLA.D05.STEI.01624","VST.STEI.01624.2015","OSVI","D05","STEI","STEI_002",31,4,NA,NA,NA,"tag only","N"
"330eae89-c39b-4c67-a34b-5046532774f1","LOADED","2016-09-13",2016,"NEON.PLA.D05.UNDE.01816","VST.UNDE.01816.2016","ACRU","D05","UNDE","UNDE_037",39,NA,NA,NA,NA,"tag only","N"
"334afbdc-b59a-4af1-93d3-2ce42741eff1","LOADED","2019-05-02",2019,"NEON.PLA.D01.HARV.11633","VST.HARV.11633.2019","BEAL2","D01","HARV","HARV_016",41,4,NA,NA,NA,"tag only","N"
"34f85dbc-d43d-431f-a3b8-75da7a16e5ed","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02287","VST.OSBS.02287.2015","QULA2","D03","OSBS","OSBS_027",41,NA,NA,NA,NA,"tag only","N"
"37e0ec2d-a802-42f9-81f9-3f91eb280f04","LOADED","2015-09-16",2015,"NEON.PLA.D17.TEAK.01432","VST.TEAK.01432.2015","ABMA","D17","TEAK","TEAK_044",39,NA,49,184.8,0.6,"map and tag",NA
"3a58d3e5-0f34-478a-b982-d286d5b37d0e","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.09647","VST.UNDE.09647.2015","COCO6","D05","UNDE","UNDE_043",23,1,NA,NA,NA,"tag only","N"
"3ab33f68-1f99-4468-bc7e-8a0bb0cf3441","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02286","VST.OSBS.02286.2015","QULA2","D03","OSBS","OSBS_027",41,NA,NA,NA,NA,"tag only","N"
"3c752085-a309-4143-bf56-6211d89d0b97","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02078","VST.OSBS.02078.2015","PIPA2","D03","OSBS","OSBS_029",39,NA,39,68,18,"map and tag","N"
"3da8be89-7b18-44f0-a3cf-75ce7dbb9a16","LOADED","2020-10-20",2025,"NEON.PLA.D19.BONA.00707","VST.BONA.00707.2025","BENE4","D19","BONA","BONA_078",39,NA,39,58.6,8.8,"map and tag","N"
"3eb4b985-194a-4f9c-8f53-c20adb65af33","LOADED","2015-10-20",2015,"NEON.PLA.D17.TEAK.03169","VST.TEAK.03169.2015","ABMA","D17","TEAK","TEAK_050",21,NA,21,24.7,21.2,"map and tag",NA
"3f5b509b-a450-4df7-8056-8a40a82d1078","LOADED","2016-08-10",2016,"NEON.PLA.D19.HEAL.02578","VST.HEAL.02578.2016","ALVI5","D19","HEAL","HEAL_004",40,1,NA,NA,NA,"tag only","N"
"3f7bd3c5-8dc5-4d12-a5f6-a6f542f1da2e","LOADED","2015-09-30",2015,"NEON.PLA.D17.TEAK.02218","VST.TEAK.02218.2015","PICO","D17","TEAK","TEAK_043",21,NA,23,323.3,5.8,"map and tag",NA
"3feee3e0-5213-4de9-976d-154ceb0e161d","LOADED",NA,2015,"NEON.PLA.D03.OSBS.07068","VST.OSBS.07068.2015","VIRO3","D03","OSBS","OSBS_009",31,NA,NA,NA,NA,"tag only","N"
"4102c57a-1c07-4f0f-8599-46989fb406d0","LOADED","2014-08-13",2014,"NEON.PLA.D01.BART.01523","VST.BART.01523.2014","TSCA","D01","BART","BART_001",31,NA,61,206.864506121,23.8514419387,"map and tag",NA
"4115861d-62f2-4e8c-a82e-f8162310699d","LOADED",NA,2015,"NEON.PLA.D03.OSBS.00567","VST.OSBS.00567.2015","QULA2","D03","OSBS","OSBS_043",39,NA,NA,NA,NA,"tag only","N"
"41ec95f5-b702-4a48-bff9-5b58418f7b76","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.02049","VST.UNDE.02049.2015","COCO6","D05","UNDE","UNDE_043",23,1,NA,NA,NA,"tag only","N"
"425f4dd1-3190-4510-93b3-a8aec1d716a9","LOADED","2019-09-19",2019,"NEON.PLA.D12.YELL.02769","VST.YELL.02769.2019","PSME","D12","YELL","YELL_046",39,NA,39,6.3,16.2,"map and tag","N"
"4477b55e-e4ae-4404-9411-e53f0b8d1fb0","LOADED",NA,2015,"NEON.PLA.D03.OSBS.00651","VST.OSBS.00651.2015","PIPA2","D03","OSBS","OSBS_042",41,NA,41,50.5,7.7,"map and tag","N"
"44b83537-48e4-4f1b-b829-13bf0b66a22c","LOADED","2019-04-30",2019,"NEON.PLA.D01.HARV.11650","VST.HARV.11650.2019","CACAV","D01","HARV","HARV_004",31,4,NA,NA,NA,"tag only","N"
"44eb3280-8083-4390-916e-57790577a306","LOADED","2015-07-28",2015,"NEON.PLA.D01.BART.03637","VST.BART.03637.2015","FAGR","D01","BART","BART_040",41,1,NA,NA,NA,"tag only",NA
"45532b86-6b0d-457c-bf0e-5be15045f709","LOADED",NA,2015,"NEON.PLA.D03.JERC.04184","VST.JERC.04184.2015","QUIN","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"460c2cd6-f0ec-46a8-8eb0-5dac61db1ffc","LOADED","2016-10-11",2016,"NEON.PLA.D05.STEI.00398","VST.STEI.00398.2016","FRPE","D05","STEI","STEI_004",32,2,NA,NA,NA,"tag only","N"
"46430ff0-3800-4561-a1c3-e69cdc086d84","LOADED","2014-08-13",2014,"NEON.PLA.D01.BART.01524","VST.BART.01524.2014","TSCA","D01","BART","BART_001",31,NA,61,202.760506286,23.6217532659,"map and tag",NA
"4a7e8a6b-4577-4c23-8028-1cc42defb8d2","LOADED",NA,2015,"NEON.PLA.D03.JERC.02395","VST.JERC.02395.2015","SMRO","D03","JERC","JERC_054",39,NA,NA,NA,NA,"tag only","N"
"4ab9f881-b60f-43d7-9c56-59d993e0514f","LOADED","2019-09-10",2019,"NEON.PLA.D12.YELL.01438","VST.YELL.01438.2019","ARTR2","D12","YELL","YELL_044",23,4,NA,NA,NA,"tag only","N"
"4bcca21b-7eb0-446a-80b7-658ba369233d","LOADED","2015-09-30",2015,"NEON.PLA.D17.TEAK.02175","VST.TEAK.02175.2015","ABMA","D17","TEAK","TEAK_058",21,NA,41,255.3,1.9,"map and tag",NA
"4efbc9e9-5e77-42ec-b54f-7646807c9114","LOADED",NA,2015,"NEON.PLA.D03.JERC.04187","VST.JERC.04187.2015","QUMA6","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"5007f039-b239-45f8-96be-fc6cfc40f57e","LOADED",NA,2015,"NEON.PLA.D03.OSBS.00272","VST.OSBS.00272.2015","PIPA2","D03","OSBS","OSBS_042",41,NA,NA,NA,NA,"tag only","N"
"50a32c74-0841-4c1a-b966-6b4685ae6936","LOADED","2015-08-12",2015,"NEON.PLA.D05.STEI.01086","VST.STEI.01086.2015","ACRU","D05","STEI","STEI_046",23,NA,43,202.3,6.5,"map and tag",NA
"50ce516b-212d-43fa-9956-3c61507c743c","LOADED","2015-06-17",2015,"NEON.PLA.D19.DEJU.00282","VST.DEJU.00282.2015","BETUL","D19","DEJU","DEJU_052",23,2,NA,NA,NA,"tag only",NA
"5102c131-b1f1-4eef-9601-2f8b66243550","LOADED","2015-08-19",2015,"NEON.PLA.D17.TEAK.00386","VST.TEAK.00386.2015","PIJE","D17","TEAK","TEAK_054",41,NA,61,193.8,16.1,"map and tag",NA
"5320f809-87df-49a1-a857-8189f2a0c168","LOADED","2015-06-17",2015,"NEON.PLA.D19.DEJU.00492","VST.DEJU.00492.2015","BETUL","D19","DEJU","DEJU_052",21,1,NA,NA,NA,"tag only",NA
"5351c974-6232-481c-baa1-b944e14a3792","LOADED","2018-08-13",2018,"NEON.PLA.D05.UNDE.00698","VST.UNDE.00698.2018","ABBA","D05","UNDE","UNDE_037",41,NA,59,119.7,10.9,"map and tag","N"
"543bb644-9776-48aa-84ad-1fb4928f1b3e","LOADED","2019-09-10",2019,"NEON.PLA.D12.YELL.01436","VST.YELL.01436.2019","ARTR2","D12","YELL","YELL_044",23,4,NA,NA,NA,"tag only","N"
"57923989-2859-4cab-b856-106c1bf42c43","LOADED","2015-08-17",2015,"NEON.PLA.D05.STEI.01549","VST.STEI.01549.2015","FRNI","D05","STEI","STEI_052",41,NA,41,41,26,"map and tag",NA
"58c81c84-e3e2-401d-a40d-c611e56aca86","LOADED","2014-11-11",2014,"NEON.PLA.D01.BART.03665","VST.BART.03665.2014","TSCA","D01","BART","BART_073",23,4,NA,NA,NA,"tag only","N"
"5baba451-d567-49f5-bb44-aa2df08011be","LOADED",NA,2015,"NEON.PLA.D03.OSBS.00832","VST.OSBS.00832.2015","QULA2","D03","OSBS","OSBS_042",21,NA,41,215.2,18.4,"map and tag","N"
"5c7e044a-b2cf-4a27-9308-55829ff75cb0","LOADED","2019-01-15",2019,"NEON.PLA.D20.PUUM.08332","VST.PUUM.08332.2019","MEPO5","D20","PUUM","PUUM_013",NA,NA,51,187.8,9.9,"map and tag","Y"
"5cc36893-078b-4a17-aca0-7e646f644fba","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.09200","VST.UNDE.09200.2015","FRNI","D05","UNDE","UNDE_043",23,1,NA,NA,NA,"tag only","N"
"5d27fba9-bdfd-4de3-944c-7d78f977a732","LOADED","2016-09-28",2016,"NEON.PLA.D05.UNDE.02324A","VST.UNDE.02324A.2016","ACRU","D05","UNDE","UNDE_043",23,NA,NA,NA,NA,"tag only","N"
"5da4a749-23ce-41c3-ab70-0190bde27b9d","LOADED","2016-06-13",2016,"NEON.PLA.D19.BONA.00075","VST.BONA.00075.2016","BENE4","D19","BONA","BONA_072",23,NA,25,302.8,10,"map and tag","N"
"5e1092b2-2ad1-4f87-b0f2-2392735e3bac","LOADED","2017-05-24",2016,"NEON.PLA.D19.DEJU.00220","VST.DEJU.00220.2016","PIMA","D19","DEJU","DEJU_047",21,NA,NA,NA,NA,"tag only","N"
"5ee2a4f0-f80c-493b-b429-58fcb14c1797","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02783","VST.OSBS.02783.2015","PIPA2","D03","OSBS","OSBS_027",39,NA,NA,NA,NA,"tag only","N"
