"_record_id","load_status","date","yearboutbegan","individualid","vstid","taxonid","domainid","siteid","plotid","subplotid","nestedsubplotid","pointid","stemazimuth","stemdistance","recordtype","cfconlytag"
"0001b7b9-6728-40d4-b232-8fdc1e00bf4e","LOADED",2017-10-30,2017,"NEON.PLA.D16.WREF.05280","VST.WREF.05280.2017","PSMEM","D16","WREF","WREF_084","23","4",NA,NA,NA,"tag only","N"
"002ca737-2509-4d0c-b519-a610cce7d251","LOADED",2019-09-30,2019,"NEON.PLA.D12.YELL.01862","VST.YELL.01862.2019","POTR5","D12","YELL","YELL_043","41","4",NA,NA,NA,"tag only","N"
"003cc657-426f-45a4-9e32-6774c63f915b","LOADED",2016-08-17,2016,"NEON.PLA.D19.HEAL.01605","VST.HEAL.01605.2016","BEGL/BENA","D19","HEAL","HEAL_022","31","1",NA,NA,NA,"tag only","N"
"01ba3f76-931a-4cbd-8341-b5e1f650df93","LOADED",2016-08-08,2016,"NEON.PLA.D19.HEAL.02520","VST.HEAL.02520.2016","SAGL","D19","HEAL","HEAL_014","32","4",NA,NA,NA,"tag only","N"
"01f93984-32ad-4bb3-baf3-36f29d7aa1f6","LOADED",2015-10-14,2015,"NEON.PLA.D17.SOAP.02656","VST.SOAP.02656.2015","QUKE","D17","SOAP","SOAP_046","23",NA,"23",60.1,9.6,"map and tag",NA
"02134af2-2c55-4ac0-85c7-51bd39f8913f","LOADED",2014-07-31,2014,"NEON.PLA.D03.OSBS.01816","VST.OSBS.01816.2014","ILCA","D03","OSBS","OSBS_001","32",NA,NA,NA,NA,"tag only","N"
"02572153-da83-40a1-b2ab-cbd3ffbd18ab","LOADED",2017-10-25,2017,"NEON.PLA.D16.WREF.05521","VST.WREF.05521.2017","TSHE","D16","WREF","WREF_080","39","3",NA,NA,NA,"tag only","N"
"028537d5-e770-4d36-af3f-7deafd08171a","LOADED",2014-07-02,2014,"NEON.PLA.D07.ORNL.00851","VST.ORNL.00851.2014","ELUM","D07","ORNL","ORNL_003","32","3","31",65.1,17.6,"map and tag",NA
"028b9dab-4239-4c72-86b1-7eb9409c8dfb","LOADED",2016-11-21,2016,"NEON.PLA.D17.SJER.04035A","VST.SJER.04035A.2016","QUWI2","D17","SJER","SJER_058","41",NA,NA,NA,NA,"tag only","N"
"02e2f5a6-d6f1-4990-895c-25427c6a15b6","LOADED",2016-01-09,2015,"NEON.PLA.D14.SRER.00259","VST.SRER.00259.2015","OPEN3","D14","SRER","SRER_057","41","1",NA,NA,NA,"tag only","N"
"034a33cd-76ee-4b31-91f6-e54d82235753","LOADED",2014-08-15,2014,"NEON.PLA.D05.UNDE.02798","VST.UNDE.02798.2014","ACSA3","D05","UNDE","UNDE_008","40",NA,"49",183.8,2.6,"map and tag","N"
"03901ab6-c779-4227-a80e-8abe46856ab5","LOADED",2014-07-31,2014,"NEON.PLA.D07.ORNL.02648","VST.ORNL.02648.2014","JUVI","D07","ORNL","ORNL_027","41","3","41",64.6,5.6,"map and tag",NA
"03d422a7-586c-4660-8d19-5e071946103b","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02187","VST.OSBS.02187.2015","QULA2","D03","OSBS","OSBS_029","39",NA,"39",89,14.9,"map and tag","N"
"03ef27a9-bf91-4d75-b4ac-a2bf15d33357","LOADED",2016-06-20,2016,"NEON.PLA.D19.BONA.00707","VST.BONA.00707.2016","BENE4","D19","BONA","BONA_078",NA,NA,"39",58.6,8.8,"map and tag","N"
