_record_id,domainid,plotid,siteid,subplotid,nestedsubplotid,tagid_input,tagid,individualid,vstid,individualfate,acceptedtaxonid
baa31468-4f42-46f5-92e6-51f188f0f034,D16,WREF_080,WREF,39,,5507A,05507A,NEON.PLA.D16.WREF.05507A,VST.WREF.05507A.2020,released,PSMEM
47995a15-0b0e-4bea-b76f-550516324493,D16,WREF_071,WREF,21,1,2097A,02097A,NEON.PLA.D16.WREF.02097A,VST.WREF.02097A.2020,released,TSHE
3acd1566-43bc-4365-b222-4de2d5bfa1bb,D16,WREF_074,WREF,39,,3217A,03217A,NEON.PLA.D16.WREF.03217A,VST.WREF.03217A.2017,released,TSHE
028d94a3-7cdd-45a9-a56e-5db3a484b8f0,D16,WREF_070,WREF,39,,4084A,04084A,NEON.PLA.D16.WREF.04084A,VST.WREF.04084A.2017,released,TSHE
ab242f83-120d-4fb9-baad-4148e6e7397b,D16,ABBY_073,ABBY,23,,26A,00026A,NEON.PLA.D16.ABBY.00026A,VST.ABBY.00026A.2018,released,PSMEM
44b3d8f6-09c8-450e-a1c4-316ae5cb30ef,D16,ABBY_067,ABBY,39,,3901A,03901A,NEON.PLA.D16.ABBY.03901A,VST.ABBY.03901A.2018,released,PSMEM
757fcde2-aa8e-4327-b4b4-5ed6215722cb,D16,ABBY_063,ABBY,21,,402A,00402A,NEON.PLA.D16.ABBY.00402A,VST.ABBY.00402A.2018,released,PSMEM
62990b2d-94f7-47dc-96cd-ba57b724d8f6,D16,WREF_074,WREF,39,,3217A,03217A,NEON.PLA.D16.WREF.03217A,VST.WREF.03217A.2017,released,TSHE
63d2ae6a-6b99-418e-868d-5856bc84a589,D16,WREF_070,WREF,39,,4084A,04084A,NEON.PLA.D16.WREF.04084A,VST.WREF.04084A.2017,released,TSHE
aae3c48a-4ff0-426a-a093-76614031a4ef,D16,WREF_088,WREF,39,,3417A,03417A,NEON.PLA.D16.WREF.03417A,VST.WREF.03417A.2020,released,TSHE
5c534a5f-0508-48bd-8f8a-f1c4c9dcd284,D16,WREF_089,WREF,21,1,4863A,04863A,NEON.PLA.D16.WREF.04863A,VST.WREF.04863A.2020,released,TABR2
4aac3da8-4074-47e1-ba85-fabc28e5eea2,D16,WREF_080,WREF,39,,5798A,05798A,NEON.PLA.D16.WREF.05798A,VST.WREF.05798A.2020,released,PSMEM
bb2dac7a-d6a4-4f29-9d6c-091b1431ec4a,D16,WREF_079,WREF,41,1,2425B,02425B,NEON.PLA.D16.WREF.02425B,VST.WREF.02425B.2020,released,TABR2
cbd447bc-2712-4b6b-b568-5976afb9d029,D16,WREF_072,WREF,41,,2111A,02111A,NEON.PLA.D16.WREF.02111A,VST.WREF.02111A.2020,released,ACCI
a125e30d-e7e0-40a9-9a94-fd86403650e1,D16,WREF_080,WREF,21,1,4004A,04004A,NEON.PLA.D16.WREF.04004A,VST.WREF.04004A.2020,released,PSMEM
3195db2c-8a20-4493-93ca-5d1eb0bae761,D16,WREF_079,WREF,21,,2209A,02209A,NEON.PLA.D16.WREF.02209A,VST.WREF.02209A.2020,released,TABR2
8416009c-c4c0-428b-a7ce-c0ec02226dcb,D16,WREF_070,WREF,21,1,4139A,04139A,NEON.PLA.D16.WREF.04139A,VST.WREF.04139A.2020,released,TSHE
5c412d23-16f4-438f-8268-2ae0aac0c6ba,D16,WREF_072,WREF,41,1,4651A,04651A,NEON.PLA.D16.WREF.04651A,VST.WREF.04651A.2020,released,ACCI
6de85240-aadf-44a8-84b5-5ed91d50313d,D16,WREF_072,WREF,41,,2111B,02111B,NEON.PLA.D16.WREF.02111B,VST.WREF.02111B.2020,released,ACCI
35590fbf-6208-4863-8ac4-8be524fa77fb,D16,WREF_072,WREF,39,,2176A,02176A,NEON.PLA.D16.WREF.02176A,VST.WREF.02176A.2020,released,ACCI
57c7b62a-c856-4b8c-87b7-75139ada152c,D16,WREF_086,WREF,23,4,4389A,04389A,NEON.PLA.D16.WREF.04389A,VST.WREF.04389A.2020,released,ACCI
ebab52ee-3c84-492f-a303-237eeed6c503,D16,WREF_072,WREF,41,1,4607A,04607A,NEON.PLA.D16.WREF.04607A,VST.WREF.04607A.2020,released,TABR2
9f546d05-a915-4b95-80ce-3aa27d4bc85e,D16,WREF_079,WREF,41,1,2425A,02425A,NEON.PLA.D16.WREF.02425A,VST.WREF.02425A.2020,released,TABR2
7baaf2d1-d8f0-4a01-bcf9-c2e5375c61fa,D16,WREF_080,WREF,39,,5507B,05507B,NEON.PLA.D16.WREF.05507B,VST.WREF.05507B.2020,released,PSMEM
d6c704d7-7f46-4979-87e0-bec69b76b696,D16,WREF_072,WREF,41,1,4651B,04651B,NEON.PLA.D16.WREF.04651B,VST.WREF.04651B.2020,released,ACCI
dbe86412-3dde-4ef0-8c63-00cda86f0492,D16,WREF_080,WREF,21,,4005A,04005A,NEON.PLA.D16.WREF.04005A,VST.WREF.04005A.2020,released,PSMEM
195ef3ed-61eb-4c69-ab4e-73157223b9b9,D16,WREF_087,WREF,39,1,5465A,05465A,NEON.PLA.D16.WREF.05465A,VST.WREF.05465A.2020,released,PSMEM
3050a2b6-18d0-42a9-ae69-3eac7fbc6718,D16,WREF_070,WREF,21,1,4141A,04141A,NEON.PLA.D16.WREF.04141A,VST.WREF.04141A.2020,released,TSHE
2d99d894-b850-4d84-9c2d-7d59fecde2a7,D16,WREF_002,WREF,41,,9158A,09158A,NEON.PLA.D16.WREF.09158A,VST.WREF.09158A.2019,released,TSHE
4aa0d90d-153c-444a-874a-0efecd6cca92,D16,WREF_002,WREF,41,,9154A,09154A,NEON.PLA.D16.WREF.09154A,VST.WREF.09154A.2019,released,TSHE
6af4eeaa-87c6-4260-b88e-00da853710ce,D16,WREF_002,WREF,41,,9151A,09151A,NEON.PLA.D16.WREF.09151A,VST.WREF.09151A.2019,released,TSHE
3e24d587-66b3-44b4-bcde-97ba9f8e6fd6,D16,WREF_002,WREF,41,,9149A,09149A,NEON.PLA.D16.WREF.09149A,VST.WREF.09149A.2019,released,TSHE
c549c2bf-a659-443a-93af-946e6090ebca,D16,WREF_002,WREF,32,,9122A,09122A,NEON.PLA.D16.WREF.09122A,VST.WREF.09122A.2019,released,TSHE
54184348-3445-4ff9-9533-43ab35abaf34,D16,WREF_002,WREF,32,,9113A,09113A,NEON.PLA.D16.WREF.09113A,VST.WREF.09113A.2019,released,PSMEM
263a43d3-5622-469c-b019-2180d2a5d0d5,D16,WREF_007,WREF,41,,8689A,08689A,NEON.PLA.D16.WREF.08689A,VST.WREF.08689A.2019,released,TSHE
a0a90636-26c9-49c2-9c7e-cd583ee0c7f8,D16,WREF_011,WREF,32,,7747A,07747A,NEON.PLA.D16.WREF.07747A,VST.WREF.07747A.2019,released,TSHE
f3cc9d2a-6985-44e4-8a98-4f764e06331a,D16,WREF_011,WREF,40,,7603A,07603A,NEON.PLA.D16.WREF.07603A,VST.WREF.07603A.2019,released,TSHE
07f6a4fc-e602-4dc8-8077-d5ccedd9ce10,D16,WREF_002,WREF,40,,7521A,07521A,NEON.PLA.D16.WREF.07521A,VST.WREF.07521A.2019,released,TSHE
4d710779-7bbf-48b0-9825-d022f1c9f3ee,D16,WREF_020,WREF,32,2,7474A,07474A,NEON.PLA.D16.WREF.07474A,VST.WREF.07474A.2019,released,FRPU7
2ad57eab-0765-4046-9a75-b674e6339546,D16,WREF_013,WREF,32,,7258A,07258A,NEON.PLA.D16.WREF.07258A,VST.WREF.07258A.2019,released,TSHE
f89afa3b-ad88-4a01-9368-1bf019e98133,D16,WREF_008,WREF,41,,5689A,05689A,NEON.PLA.D16.WREF.05689A,VST.WREF.05689A.2019,released,TSHE
4241a970-7645-4355-b64b-3a2a41c7f03f,D16,WREF_002,WREF,31,,5668A,05668A,NEON.PLA.D16.WREF.05668A,VST.WREF.05668A.2019,released,TSHE
94d2d2f3-e446-40bf-adf3-ae0ebe2a20aa,D16,WREF_076,WREF,23,,4687A,04687A,NEON.PLA.D16.WREF.04687A,VST.WREF.04687A.2020,released,ACCI
3d42bd5b-7199-4e15-8bbe-23ce46f21a3c,D16,WREF_076,WREF,21,4,4668A,04668A,NEON.PLA.D16.WREF.04668A,VST.WREF.04668A.2019,released,ACCI
0af45272-9536-426e-bf9a-ad8331074196,D16,WREF_076,WREF,21,,4637A,04637A,NEON.PLA.D16.WREF.04637A,VST.WREF.04637A.2019,released,TABR2
c6f4c6d9-81d3-4a04-9948-b8ded32701db,D16,WREF_073,WREF,39,,4424A,04424A,NEON.PLA.D16.WREF.04424A,VST.WREF.04424A.2020,released,PSMEM
cf528581-3d50-4be6-a4d9-4f93efd13ee3,D16,WREF_074,WREF,23,,3669A,03669A,NEON.PLA.D16.WREF.03669A,VST.WREF.03669A.2019,released,PSMEM
ca28c74b-ce98-43d5-9d77-3a173cc48be7,D16,WREF_074,WREF,23,2,3211A,03211A,NEON.PLA.D16.WREF.03211A,VST.WREF.03211A.2019,released,TSHE
24dca226-5651-4b4e-93c4-fadc6f05d25e,D16,WREF_078,WREF,23,,2246A,02246A,NEON.PLA.D16.WREF.02246A,VST.WREF.02246A.2020,released,PSMEM
fe3f0069-ec73-4967-8696-422929455bbb,D16,WREF_071,WREF,23,,2042A,02042A,NEON.PLA.D16.WREF.02042A,VST.WREF.02042A.2020,released,PSMEM
70d9c540-96a5-469d-9b5e-e72425b03635,D16,WREF_071,WREF,23,,2038A,02038A,NEON.PLA.D16.WREF.02038A,VST.WREF.02038A.2020,released,TSHE
68756d2a-529f-487f-8c2b-f4248f22d77f,D16,WREF_078,WREF,23,4,2226A,02226A,NEON.PLA.D16.WREF.02226A,VST.WREF.02226A.2020,released,TSHE
72f9ac16-5c57-43f9-80e8-5ca7c983bad8,D16,WREF_076,WREF,23,,4687B,04687B,NEON.PLA.D16.WREF.04687B,VST.WREF.04687B.2020,released,ACCI
d00e53b5-8bb4-4e40-8beb-b6eb74527d97,D16,WREF_076,WREF,23,,4687A,04687A,NEON.PLA.D16.WREF.04687A,VST.WREF.04687A.2020,released,ACCI
e27a52b0-2372-444e-9104-409457e1e147,D16,ABBY_062,ABBY,39,,7192A,07192A,NEON.PLA.D16.ABBY.07192A,VST.ABBY.07192A.2020,released,PSMEM
c1d83899-3305-4469-97cd-01fe519b546e,D16,WREF_073,WREF,39,,4424A,04424A,NEON.PLA.D16.WREF.04424A,VST.WREF.04424A.2020,released,PSMEM
e3930808-3ca3-45b4-adff-eeefc5aba597,D16,WREF_076,WREF,21,4,4668D,04668D,NEON.PLA.D16.WREF.04668D,VST.WREF.04668D.2019,released,ACCI
7563b461-7e1e-466a-b1cc-5658c49ba743,D16,WREF_007,WREF,41,,8689A,08689A,NEON.PLA.D16.WREF.08689A,VST.WREF.08689A.2019,released,TSHE
582bd997-2f9a-4ae4-aa90-c7dd0dc19398,D16,WREF_020,WREF,32,2,7474A,07474A,NEON.PLA.D16.WREF.07474A,VST.WREF.07474A.2019,released,FRPU7
