_record_id,domainid,siteid,taxonid,scientificname,preferredstatus
099588ae-d489-4421-8b9d-b552c6ab6ade,D16,WREF,MANE2,Mahonia nervosa ,
2e43d431-f6fe-46ac-bf0e-d59cd3639b52,D16,WREF,VAPA,Vaccinium parvifolium ,
3aaf9b72-d9e6-4925-8fc9-9166da865092,D16,WREF,ACTR,Achlys triphylla ,
b955c111-9b5c-4323-be48-3f493839e938,D16,WREF,PTAQ,Pteridium aquilinum ,
f555f6f9-894c-4e06-9fd5-11f5dc66e20f,D16,WREF,ABAM,Abies amabilis ,
bedd6e36-cfe7-4d1d-bcc9-b1df48e04af2,D16,WREF,COCOC,Corylus cornuta ,
39d0b645-f21a-488f-915d-2066cacc7176,D16,WREF,THPL,Thuja plicata ,
381b3fbe-8a58-4a37-bf8d-aeafff6c2723,D16,WREF,ACCI,Acer circinatum ,USA-NPN; Green Wave
b1bb1081-5d94-4fc4-8acd-1e91b4b829f6,D16,WREF,LIBOL2,Linnaea borealis ,
fa76a222-98d6-4e22-9e62-ebea4712e370,D16,WREF,TABR2,Taxus brevifolia ,
854e7f45-b347-4908-8d91-9e5541a43903,D16,WREF,VAOV,Vaccinium ovalifolium ,
b7bb3574-8864-40ef-9707-fc7d756fc346,D16,WREF,CLUN2,Clintonia uniflora ,
8881d07a-f619-412e-bf33-a0d478f002e4,D16,WREF,ABGR,Abies grandis ,
43b332b3-7f3a-4deb-bc31-00928a62aca1,D16,WREF,GAHU,Gaultheria humifusa ,
bda4cb92-021c-40a5-a5d1-21f1b65ca4aa,D16,WREF,ARCO3,Arctostaphylos columbiana ,
71d4e22f-3298-4dd8-9ebb-b67b06745f93,D16,WREF,RUUR,Rubus ursinus ,
cd4b93a0-2dff-4f25-bf5d-8b3b51bf47db,D16,WREF,SYAL,Symphoricarpos albus ,
39a83cad-aa53-40e7-9b25-3e438165d0fa,D16,WREF,VIOLA,Viola sp.,
81d04ce7-de03-4382-a6e8-0ed1a751e9df,D16,WREF,TRBOL,Trientalis borealis ,
be9751b2-8f15-40b8-87ce-8f69f322c837,D16,WREF,ANEMO,Anemone sp.,
12353e5d-3d72-43fb-b0ff-f489d3616b31,D16,WREF,VAME,Vaccinium membranaceum ,
2ef5f9e9-5bef-4f6e-96e1-c92f397f0016,D16,WREF,TROV2,Trillium ovatum ,
4192dd32-6b63-4fbf-ad83-20740d4197eb,D16,WREF,VAHE,Vancouveria hexandra ,
37d254f8-844d-4333-aee4-e280f6ea35a8,D16,WREF,POMU,Polystichum munitum ,
876b54ca-a458-4f3b-a7f7-822264707abc,D16,WREF,BLSP,Blechnum spicant ,
19afcf43-26b4-4c7f-a576-651dff3e5fb0,D16,WREF,MAST4,Maianthemum stellatum ,
604bc66b-b714-4797-8142-f24a4c06d830,D16,WREF,ROGY,Rosa gymnocarpa ,
5759b000-0daa-4d29-9854-ca994bfb8f45,D16,WREF,PIMO3,Pinus monticola ,
