subplotID,nestedID,x1,x2,y1,y2
21,21_1,0,3.16,0,3.16
21,21_4,16.84,20,16.84,20
21,pdExclusion,9,12,9,12
23,23_2,16.84,20,0,3.16
23,23_3,0,3.16,16.84,20
23,23_4,16.84,20,16.84,20
23,pdExclusion,8,11,9,12
23,pdExclusion,8,11,18,20
39,39_1,0,3.16,0,3.16
39,39_2,16.84,20,0,3.16
39,39_3,0,3.16,16.84,20
39,pdExclusion,9,12,0,2
39,pdExclusion,9,12,8,11
41,41_1,0,3.16,0,3.16
41,41_4,16.84,20,16.84,20
41,pdExclusion,8,11,8,11
31,31_1,0,3.16,0,3.16
31,31_4,6.84,10,7,10
31,32_2,16.84,20,0,3.16
31,32_4,16.84,20,7,10
31,40_1,0,3.16,10,13
31,40_3,0,3.16,16.84,20
31,41_1,10,13.16,10,13
31,41_4,16.84,20,16.84,20
