_record_id,domainid,siteid,taxonid,scientificname,preferredstatus,deletions,accept_change(y/n),botanist_notes
e50e3907-2cd1-4f57-bc7e-d787240799d5,D04,GUAN,PLPOP,Pleopeltis polypodioides (L.) Andrews & Windham ssp. polypodioides,,,,
c4263e9e-d9ba-4fde-a596-6ed8337d1457,D11,CLBJ,COAR4,Convolvulus arvensis L.,TX-NW,,,
64d647dd-a40b-4ce8-a2b4-6e05ce67d1af,D02,BLAN,AIAL,Ailanthus altissima (Mill.) Swingle,VA-NW,,,
3a7ea200-b3e1-45f0-9684-22e9d4f1f767,D02,BLAN,ALPE4,Alliaria petiolata (M. Bieb.) Cavara & Grande,VA-NW,,,
d57dd3ce-ed45-4726-bb01-0ab939e77dfd,D02,BLAN,CEOR7,Celastrus orbiculatus Thunb.,VA-NW,,,
463b60dd-08ff-458d-8d2b-00c89ce154ac,D02,BLAN,LISI,Ligustrum sinense Lour.,VA-NW,,,
22f565b0-6cdf-4063-b35a-cc8fb2dd0695,D02,BLAN,LOJA,Lonicera japonica Thunb.,VA-NW,,,
8868ae9d-3a31-4408-a37d-7e11513e9e57,D02,BLAN,LOMA6,Lonicera maackii (Rupr.) Herder,VA-NW,,,
95089d8d-fa12-4726-aedb-e315f6ee1e57,D02,BLAN,MIVI,Microstegium vimineum (Trin.) A. Camus,VA-NW,,,
26a6833a-8e49-4b7d-8b7e-2f85ff829738,D11,OAES,CUSCU,Cuscuta sp.,,Fed- NW,n,Still listed as a Fed-NW
360611f1-c0ac-4bcf-9208-f0f4761b1473,D16,ABBY,BARA,Baldellia ranunculoides ,,,,"mistake?; apparently only present in Thurston County, WA, otherwise isolated to Newfoundland"
a5594121-352d-4c6f-9a53-e6f834643c71,D02,BLAN,RUPH,Rubus phoenicolasius Maxim.,VA-NW,,,
47507554-f5eb-4d99-ad9b-912e52fd1cd0,D04,GUAN,POFL20,Poitea florida (Vahl) Lavin,,,,
7406cf4c-b2d6-4b68-b6ee-234ed9f6a4e6,D16,ABBY,DIPU,Digitalis purpurea ,,,,"nonnative, but not state listed"
5e756772-368d-4edd-9397-10e47b8eff54,D16,ABBY,MYMU,Mycelis muralis ,,,,"nonnative, but not state listed"
844840b4-dac2-4341-8f0c-83bf28092532,D09,DCFS,ELRE4,Elymus repens (L.) Gould,,"Previously listed NW, removed",y,
708d272d-1edd-4eae-b7be-24929177eee8,D14,SRER,PRVE,Prosopis velutina ,,Fed- NW,n,"Not invasive, but still a dominant"
381b3fbe-8a58-4a37-bf8d-aeafff6c2723,D16,WREF,ACCI,Acer circinatum ,USA-NPN; Green Wave,,,
72870542-b18e-43f8-93aa-e804ff018619,D16,ABBY,ACCI,Acer circinatum ,USA-NPN; Green Wave,,,
eed7dcd9-3a57-477a-964c-27b3a42eeace,D01,HARV,BETH,Berberis thunbergii DC.,,D01 - StateNW,n,this is definitely still invasive
4075fa4e-6ee2-472a-b544-9ae932e95e0f,D14,SRER,ANCO2,Anthemis cotula ,,,,This is probably a misidentification
05168863-4947-4a0b-ad58-ebbe2eb68e50,D02,SCBI,AIAL,Ailanthus altissima (Mill.) Swingle,VA -NW,,,
d61f1714-c22a-49b8-8f95-a59539d055e3,D02,SCBI,ALPE4,Alliaria petiolata (M. Bieb.) Cavara & Grande,VA -NW,,,
cd919a2b-bace-46d9-b114-7fec6d464faf,D02,SCBI,CEOR7,Celastrus orbiculatus Thunb.,VA -NW,,,
59e90c09-ad4e-485b-91a7-c369905f4fc6,D09,NOGP,ELRE4,Elymus repens (L.) Gould,,"Previously listed NW, removed",y,This should be deleted from the noxious weed list as it is not state listed
27bf992c-a7d5-478f-80fb-70dbe865bae1,D02,SCBI,ELUM,Elaeagnus umbellata Thunb.,VA -NW,,,
1e47ee81-a434-489d-b87c-5794bd733f30,D02,SCBI,LOJA,Lonicera japonica Thunb.,VA-NW,,,
6f38f1b9-7566-449e-9221-3aca32fc993f,D09,WOOD,ELRE4,Elymus repens (L.) Gould,,D09 - StateNW,y,This should be deleted from the noxious weed list as it is not state listed
1b813d52-98b9-4189-a612-ffbf31d4941b,D02,SCBI,LOMA6,Lonicera maackii (Rupr.) Herder,VA-NW,,,
feccca30-b9e8-43a9-961c-0318815f0405,D04,GUAN,CRHU,Croton humilis L.,,,,
8e79eb0e-6861-408d-83de-af10ce8a741e,D04,GUAN,BOURR,Bourreria sp.,,,,
76969bce-6ef1-409a-850d-5eb984b113cc,D04,GUAN,BOURRSPP,Bourreria spp.,,,,
e6930751-32bc-4527-8879-2e771410bfd1,D01,HARV,GAPR2,Gaultheria procumbens L.,,,,
49d144c6-7bd8-4daa-84ff-f6a902f39745,D01,HARV,COTR2,Coptis trifolia (L.) Salisb.,,,,
e45ad6a0-965c-4935-b2fc-8a883eebecf4,D01,HARV,VACO,Vaccinium corymbosum L.,,,,
0ecf05d0-db59-46de-82de-b8b9b1ca0603,D01,HARV,BEPA,Betula papyrifera Marshall,,,,
e52b9922-eb70-4a04-ba66-51225d379135,D01,HARV,VILA11,Viburnum lantanoides Michx.,,,,
bfebf40d-183e-420e-8d39-81191fcaa159,D01,HARV,VINUC,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,,,,
b4fd87ca-e8de-43ba-9233-8cafcbfab447,D01,HARV,FRAM2,Fraxinus americana L.,,,,
e17fd25c-568d-41c6-80a1-b0e986fdb6f0,D01,HARV,PRSE2,Prunus serotina Ehrh.,,,,
00a51954-8ab0-46f0-9939-be4193b4a4b6,D01,HARV,ILVE,Ilex verticillata (L.) A. Gray,,,,
9fda9ee5-a592-4fc9-9265-c8cf4a1e86b8,D01,HARV,ARTR,Arisaema triphyllum (L.) Schott,,,,
340ae8e3-af47-4cfe-955e-a364df1ac619,D01,HARV,BEPO,Betula populifolia Marshall,,,,
