"X_status","domainid","siteid","taxonid","scientificname","preferredstatus","remarks"
"unedited","D01","BART","ACPL","Acer platanoides L.","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","ALPE4","Alliaria petiolata (Bieb.) Cavara &  Grande","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","ALGL2","Alnus glutinosa (L.) Gaertn","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","BETH","Berberis thunbergii DC.","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","CEOR7 ","Celastrus orbiculatus Thunb.","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","EUAL13","Euonymus alatus (Thunb.) Sieb.","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","FRAL4","Frangula alnus P. Mill.","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","LOBE","Lonicera ×bella Zabel*","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","LOMO2 ","Lonicera morrowii Gray*","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","LOTA","Lonicera tatarica L.*","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","BART","ROMU ","Rosa multiflora Thunb. ex Murr.","NH-NW","state listed noxious weed added by request of FS"
"unedited","D01","HARV","ACPL","Acer platanoides","MA-NW","state listed noxious weed added by request of FS"
"unedited","D01","HARV","CEOR7","Celastrus orbiculatus","MA-NW","state listed noxious weed added by request of FS"
"unedited","D01","HARV","EUAL13","Euonymus alatus ","MA-NW","state listed noxious weed added by request of FS"
"unedited","D01","HARV","FRAL4","Frangula alnus","MA-NW","state listed noxious weed added by request of FS"
"unedited","D01","HARV","LOBE","Lonicera x bella","MA-NW","state listed noxious weed added by request of FS"
"unedited","D01","HARV","ROMU","Rose multiflora","MA-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","ALJU","Albizia julibrissin","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","ASAE3","Asparagus aethiopicus","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","CICA","Cinnamomum camphora","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","COES","Colocasia esculenta","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","DIBU","Dioscorea bulbifera","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","EICR","Eichhornia crassipes","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","HYVE3","Hydrilla verticillata","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","IMCY","Imperata cylindrica","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","LACA2","Lantana strigocamara","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","LUPE6","Ludwigia peruviana","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","LYJA","Lygodium japonicum","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","LYMI","Lygodium microphyllum","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","MEQU","Melaleuca quinquenervia","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","MERE9","Melinis repens","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","NECO3","Nephrolepis cordifolia","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","PSGU","Psidium guajava","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","SAMI7","Salvinia minima","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","SCTE","Schinus terebinthifolia","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","SCLA15","Scleria lacustris","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","SOTA3","Solanum tampicense","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","SOVI2","Solanum viarum","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","TRSP8","Tradescantia spathacea","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","URMU","Urochloa mutica","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","DSNY","VIRO80","Vitex rotundifolia","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","ALJU","Albizia julibrissin Durazz. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","LEBI2","Lespedeza bicolor Turcz. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","LECU","Lespedeza cuneata (Dum.-Cours.) G. Don ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","LISI","Ligustrum sinense Lour. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","LOJA","Lonicera japonica Thunb. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","LYJA","Lygodium japonicum (Thunb. ex Murr.) Sw. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","MEAZ","Melia azedarach L. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","PUMOL","Pueraria montana var. lobata (Willd.) Maesen & S. Almeida ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","JERC","ROMU","Rosa multiflora Thunb. ","GA-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","ALJU","Albizia julibrissin","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","ARCR80","Ardisia crenata","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","CICA","Cinnamomum camphora","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","EICR","Eichhornia crassipes","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","IMCY","Imperata cylindrica","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","LACA2","Lantana strigocamara","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","LISI","Ligustrum sinense","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","LOJA","Lonicera japonica","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","LUPE6","Ludwigia peruviana","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","LYJA","Lygodium japonicum","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","MERE9","Melinis repens","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","NECO3","Nephrolepis cordifolia","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","PARE3","Panicum repens","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","SAMI7","Salvinia minima","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","SOVI2","Solanum viarum","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","TRSE6","Triadica sebifera (Sapium sebiferum)","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","URLO","Urena lobata","FL-NW","state listed noxious weed added by request of FS"
"unedited","D03","OSBS","VIRO80","Vitex rotundifolia","FL-NW","state listed noxious weed added by request of FS"
"unedited","D04","LAJA","MIIN80","Mimosa invisa","PR-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","ALPE4","Alliaria petiolata","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","ARMI2","Arctium minus","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","BETH","Berberis thunbergii","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","BRIN2","Bromus inermis","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","CEOR7","Celastrus orbiculatus","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","CESTM","Centaurea maculosa","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","CIAR4","Cirsium arvense","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","COMA7","Convallaria majalis","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","COAR4","Convolvulus arvensis","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","SEVA4","Cornilla varia","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","CRTE3","Crepis tectorum","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","DACA6","Daucus carota","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","ELUM","Elaeagnus umbellata","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","ELRE4","Elytrigia repens","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","EPHE","Epipactis helleborine","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","EUCY2","Euphorbia cyparissias","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","EUES","Euphorbia esula","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","SCAR7","Festuca arundinacea","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","GLHE2","Glechoma hederacea","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","HEMA3","Hesperis matronalis","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","HYPE","Hypericum perforatum","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","LECA2","Leonurus cardiaca","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","LOMO2","Lonicera morrowii","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","LOTAL","Lonicera tatarica","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","LOBE","Lonicera x bella","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","LOCO6","Lotus corniculatus","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","LYSA2","Lythrum salicaria","WI-NW","state listed noxious weed added by request of FS"
"unedited","D18","BARR","ACRE3","Acroptilon repens","AK-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","MOAL","Morus alba","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","MYAR","Myosotis scorpioides","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","PASA2","Pastinaca sativa","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","PHAR3","Phalaris arundinacea (nn)","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","PHAU7","Phragmites australis (nn)","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","PISY","Pinus sylvestris","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","POCO","Poa compressa","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","POCU6","Polygonum cuspidatum","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","RHCA3","Rhamnus cathartica","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","FRAL4","Rhamnus frangula","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","ROMU","Rosa multiflora","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","RUAC3","Rumex acetosella","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","SAOF4","Saponaria officinalis","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","SODU","Solanum dulcamara","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","TAVU","Tanacetum vulgare","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","TRRE3","Trifolium repens","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","TYAN","Typha angustifolia","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","TYGL","Typha x glauca","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","ULPU","Ulmus pumila","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","TREE","VIMI2","Vinca minor","WI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","AGRE2","Agropyron repens","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","BAVU","Barbarea vulgaris","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","BEIN2","Berteroa incana","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","CAAC","Carduus acanthoides","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","CANU4","Carduus nutans","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","CESTM","Centaurea stoebe ssp. Micranthos","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","CIAR4","Cirsium arvense","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","CIVU","Cirsium vulgare","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","COAR4","Convolvulus arvensis","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","COSE14","Convolvulus sepium","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","CYES","Cyperus esculentus","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","DAST","Datura stramonium","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","DACA6","Daucus carota","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","EUES","Euphorbia esula","MI-NW","state listed noxious weed added by request of FS"
