domainid,siteid,taxonid,scientificname,preferredstatus,source,notes,accept_addition(y/n),botanist_notes
D01,BART,ACPL,Acer platanoides L.,NH-NW,,,y,
D01,BART,AIAL,Ailanthus altissima (P. Mill.) Swingle,NH-NW,,,n,no populations nearby
D01,BART,ALPE4,Alliaria petiolata (Bieb.) Cavara &  Grande,NH-NW,,,y,
D01,BART,ALGL2,Alnus glutinosa (L.) Gaertn,NH-NW,,,y,
D01,BART,BETH,Berberis thunbergii DC.,NH-NW,,,y,
D01,BART,BEVU,Berberis vulgaris L.,NH-NW,,,n,no populations nearby
D01,BART,CEOR7 ,Celastrus orbiculatus Thunb.,NH-NW,,,y,
D01,BART,CESTM,Centaurea stoebe L. ssp. Micranthos (Gugler) Hayek,NH-NW,,,n,wrong habitat
D01,BART,CYLO11 ,Cynanchum louiseae Kartesz & Gandhi,NH-NW,,,n,no populations nearby
D01,BART,CYRO8 ,Cynanchum rossicum (Kleopow) Borhidi ,NH-NW,,,n,no populations nearby
D01,BART,ELUMP,Elaeagnus umbellata Thunb. var.parvifolia (Royle) Schneid.,NH-NW,,,n,wrong habitat
D01,BART,EUAL13,Euonymus alatus (Thunb.) Sieb.,NH-NW,,,y,
D01,BART,FRAL4,Frangula alnus P. Mill.,NH-NW,,,y,
D01,BART,GLMA3,Glyceria maxima (Hartman) Holmb.,NH-NW,,,n,no populations nearby
D01,BART,HEMA17 ,Heracleum mantegazzianum Sommier & Levier,NH-NW,,,n,no populations nearby
D01,BART,HEMA3,Hesperis matronalis,NH-NW,,,n,no populations nearby
D01,BART,IMGL ,Impatiens glandulifera Royle,NH-NW,,,n,wrong habitat
D01,BART,IRPS ,Iris pseudacorus L.,NH-NW,,,n,wrong habitat
D01,BART,LELA2 ,Lepidium latifolium L.,NH-NW,,,n,wrong habitat
D01,BART,LIOB ,Ligustrum obtusifolium Sieb. & Zucc. var. obtusifolium,NH-NW,,,n,no populations nearby
D01,BART,LIVU ,Ligustrum vulgare L.,NH-NW,,,n,no populations nearby
D01,BART,LOBE,Lonicera ×bella Zabel*,NH-NW,,,y,
D01,BART,LOJA ,Lonicera japonica Thunb.,NH-NW,,,n,no populations nearby
D01,BART,LOMA6,Lonicera maackii (Rupr.) Herder*,NH-NW,,,n,no populations nearby
D01,BART,LOMO2 ,Lonicera morrowii Gray*,NH-NW,,,y,
D01,BART,LOTA,Lonicera tatarica L.*,NH-NW,,,y,
D01,BART,MIVI ,Microstegium vimineum (Trin.) A. Camus,NH-NW,,,n,no populations nearby
D01,BART,POPE10 ,Persicaria perfoliata (L.) H. Gross,NH-NW,,,n,no populations nearby
D01,BART,PUMOL,Pueraria montana (Lour.) Merr. var. lobata,NH-NW,,,n,no populations nearby
D01,BART,REBO,Reynoutria ×bohemica Chrtek & Chrtková,NH-NW,,,n,wrong habitat
D01,BART,POCU6 ,Reynoutria japonica Houtt. var. Japonica,NH-NW,,,n,wrong habitat
D01,BART,POSA4 ,Reynoutria sachalinensis (F. Schmidt ex Maxim.) Nakai,NH-NW,,,n,wrong habitat
D01,BART,RHCA3 ,Rhamnus cathartica L.,NH-NW,,,n,no populations nearby
D01,BART,ROMU ,Rosa multiflora Thunb. ex Murr.,NH-NW,,,y,
D01,HARV,ACPL,Acer platanoides,MA-NW,,,y,
D01,HARV,ACPS,Acer pseudoplatanus,MA-NW,,,n,no populations nearby
D01,HARV,AEPO,Aegopodium podagraria ,MA-NW,,,n,no populations nearby
D01,HARV,AIAL,Ailanthus altissima,MA-NW,,,n,no populations nearby
D01,HARV,CACA,Cabomba caroliniana,MA-NW,,,n,wrong habitat
D01,HARV,CEOR7,Celastrus orbiculatus,MA-NW,,,y,
D01,HARV,CYLO11,Cynanchum louiseae,MA-NW,,,n,no populations nearby
D01,HARV,ELUM,Elaeagnus umbellata,MA-NW,,,n,no populations nearby
D01,HARV,EUAL13,Euonymus alatus ,MA-NW,,,y,
D01,HARV,EUES,Euphorbia esula,MA-NW,,,n,no populations nearby
D01,HARV,FRAL4,Frangula alnus,MA-NW,,,y,
D01,HARV,GLFL,Glaucium flavum,MA-NW,,,n,no populations nearby
D01,HARV,HEMA3,Hesperis matronalis ,MA-NW,,,n,no populations nearby
D01,HARV,IRPS,Iris pseudacorus ,MA-NW,,,n,wrong habitat
D01,HARV,LELA2,Lepidium latifolium,MA-NW,,,n,wrong habitat
D01,HARV,LOJA,Lonicera japonica,MA-NW,,,n,no populations nearby
D01,HARV,LOBE,Lonicera x bella,MA-NW,,,y,
D01,HARV,LYNU,Lysimachia nummularia,MA-NW,,,n,wrong habitat
D01,HARV,LYSA2,Lythrum salicaria,MA-NW,,,n,wrong habitat
D01,HARV,MYHE2,Myriophyllum heterophyllum,MA-NW,,,n,wrong habitat
D01,HARV,MYSI,Myriophyllum spicatum,MA-NW,,,n,wrong habitat
D01,HARV,PHAR3,Phalaris  arundinacea ,MA-NW,,,n,wrong habitat
D01,HARV,PHAU7,Phragmites australis,MA-NW,,,n,wrong habitat
D01,HARV,POCU6,Polygonum cuspidatum,MA-NW,,,n,no populations nearby
D01,HARV,POCR3,Potamogeton crispus,MA-NW,,,n,wrong habitat
D01,HARV,RAFI,Ranunculus ficaria,MA-NW,,,n,no populations nearby
