domainID,siteID,plotID,plotType,date,eventID,eventType,dataCollected,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther
D01,BART,BART_001,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_002,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_003,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_004,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_005,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_006,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_007,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_010,distributed,2021-07-25,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,10
D01,BART,BART_011,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,10
D01,BART,BART_012,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_013,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_015,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_016,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_018,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_019,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_023,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_024,distributed,2021-07-25,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,25
D01,BART,BART_025,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,noneSelected
D01,BART,BART_026,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,10,noneSelected,10
D01,BART,BART_027,distributed,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,noneSelected,noneSelected,noneSelected
D01,BART,BART_028,distributed,2016-09-14,vst_BART_2016,NA,NA,25,noneSelected,noneSelected
D01,BART,BART_032,tower,2019-07-10,vst_BART_2019,NA,NA,25,noneSelected,noneSelected
D01,BART,BART_033,tower,2019-07-10,vst_BART_2019,NA,NA,25,noneSelected,noneSelected
D01,BART,BART_034,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,noneSelected
D01,BART,BART_036,tower,2021-08-11,vst_BART_2021,towerSubset,allGrowthForms,noneSelected,noneSelected,noneSelected
D01,BART,BART_037,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,noneSelected
D01,BART,BART_039,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,25
D01,BART,BART_040,tower,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,100
D01,BART,BART_041,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,noneSelected
D01,BART,BART_042,tower,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,100,noneSelected,25
D01,BART,BART_044,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,noneSelected
D01,BART,BART_046,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,noneSelected
D01,BART,BART_047,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,100
D01,BART,BART_050,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,25
D01,BART,BART_051,tower,2019-07-10,vst_BART_2019,NA,NA,25,noneSelected,noneSelected
D01,BART,BART_070,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,10
D01,BART,BART_071,tower,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_072,tower,2019-07-10,vst_BART_2019,NA,NA,10,noneSelected,noneSelected
D01,BART,BART_073,tower,2021-07-26,vst_BART_2021,distributedAndTowerSubset,allGrowthForms,25,noneSelected,noneSelected
D01,BART,BART_074,tower,2019-07-10,vst_BART_2019,NA,NA,25,noneSelected,noneSelected
D01,BART,BART_075,tower,2019-07-10,vst_BART_2019,NA,NA,100,noneSelected,noneSelected
D01,HARV,HARV_001,distributed,2019-07-10,vst_HARV_2019,NA,NA,1,noneSelected,noneSelected
D01,HARV,HARV_002,distributed,2019-07-10,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_004,distributed,2019-04-30,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_005,distributed,2019-07-10,vst_HARV_2019,NA,NA,25,noneSelected,noneSelected
D01,HARV,HARV_006,distributed,2019-04-30,vst_HARV_2019,NA,NA,noneSelected,noneSelected,noneSelected
D01,HARV,HARV_008,distributed,2019-07-10,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_010,distributed,2019-07-10,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_011,distributed,2019-05-01,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_012,distributed,2019-07-10,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_013,distributed,2019-04-30,vst_HARV_2019,NA,NA,1,noneSelected,noneSelected
D01,HARV,HARV_014,distributed,2019-07-10,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_015,distributed,2019-07-10,vst_HARV_2019,NA,NA,noneSelected,noneSelected,noneSelected
D01,HARV,HARV_016,distributed,2019-05-01,vst_HARV_2019,NA,NA,10,noneSelected,1
D01,HARV,HARV_017,distributed,2019-07-10,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_020,distributed,2016-08-09,vst_HARV_2016,NA,NA,25,noneSelected,1
D01,HARV,HARV_021,distributed,2019-05-20,vst_HARV_2019,NA,NA,1,noneSelected,noneSelected
D01,HARV,HARV_022,distributed,2019-05-01,vst_HARV_2019,NA,NA,25,noneSelected,noneSelected
D01,HARV,HARV_023,distributed,2019-04-30,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_024,distributed,2015-09-29,vst_HARV_2015,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_025,distributed,2019-07-10,vst_HARV_2019,NA,NA,noneSelected,noneSelected,noneSelected
